ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100240289,10167700,191388292,Stockstrasse,9,9050 Appenzell,3101,AI,real,True,23.07.2024,2746925,1243831
100319562,10165872,191389152,Ochseneggstrasse,1,9050 Appenzell,3112,AI,real,True,23.07.2024,2750104,1242206
100370026,10187551,191583791,Riedstrasse,84a,9050 Appenzell,3101,AI,real,True,23.07.2024,2748475,1243791
100382683,10029492,191582252,Unterrainstrasse,34a,9050 Appenzell,3112,AI,real,True,23.07.2024,2749349,1243454
100383014,10187551,191583734,Riedstrasse,92a,9050 Appenzell,3101,AI,real,True,23.07.2024,2748454,1243748
100384428,10030558,191583832,Bärenhalde,14,9050 Appenzell Schlatt,3104,AI,real,True,23.07.2024,2747994,1246957
100397358,10029030,191583073,Alte Eggerstandenstrasse,20a,9050 Appenzell Steinegg,3112,AI,real,True,23.07.2024,2751171,1243564
100419502,10030832,191583653,Kaustrasse,25a,9050 Appenzell,3101,AI,real,True,23.07.2024,2748370,1243834
100432756,10167585,191583192,Holzeren,2,9413 Oberegg,3111,AI,real,True,23.07.2024,2759235,1253895
100718469,10165877,191537737,Studen,1,9057 Weissbad,3112,AI,real,True,23.07.2024,2744269,1239615
100718517,10171397,191537718,Böhlhütte,1,9057 Weissbad,3112,AI,real,True,23.07.2024,2745078,1238552
100719775,10029488,191537935,Sonnenhalbstrasse,61a,9050 Appenzell,3112,AI,real,True,23.07.2024,2750290,1241968
100721773,10155647,191537955,Triebernstrasse,58,9057 Weissbad,3112,AI,real,True,23.07.2024,2748907,1240518
100722620,10155647,191537960,Triebernstrasse,65,9057 Weissbad,3112,AI,real,True,23.07.2024,2748820,1240336
100722667,10173209,191537739,Nanisaustrasse,2,9050 Appenzell Steinegg,3112,AI,real,True,23.07.2024,2750736,1242607
100722804,10163882,191378990,St. Josefstrasse,7a,9108 Jakobsbad,3102,AI,real,True,23.07.2024,2743132,1242462
100723229,10164583,191537952,Gächtenstrasse,5,9050 Appenzell,3112,AI,real,True,23.07.2024,2748928,1241125
100723415,10029475,191537911,Alte Unterrainstrasse,34c,9050 Appenzell,3112,AI,real,True,23.07.2024,2749409,1242643
100724256,10029488,191537913,Sonnenhalbstrasse,44c,9050 Appenzell,3112,AI,real,True,23.07.2024,2749693,1242506
100724588,10164599,191537972,Leugangenstrasse,12a,9057 Weissbad,3112,AI,real,True,23.07.2024,2751345,1239722
100724680,10171402,191537948,Erstböhlstrasse,13a,9057 Weissbad,3112,AI,real,True,23.07.2024,2750064,1240256
100724867,10155647,191537961,Triebernstrasse,59,9057 Weissbad,3112,AI,real,True,23.07.2024,2748987,1240440
100725048,10163882,191378991,St. Josefstrasse,7b,9108 Jakobsbad,3102,AI,real,True,23.07.2024,2743120,1242444
100725144,10165872,191537936,Ochseneggstrasse,2b,9050 Appenzell,3112,AI,real,True,23.07.2024,2749988,1242303
100725237,10167310,191537970,Schwendetalstrasse,63a,9057 Schwende,3112,AI,real,True,23.07.2024,2750998,1239784
100725421,10089327,190166455,Bilchenstrasse,14a,9050 Appenzell Eggerstanden,3112,AI,real,True,23.07.2024,2753217,1244939
100725606,10155647,191537963,Triebernstrasse,51,9057 Weissbad,3112,AI,real,True,23.07.2024,2749210,1240546
100725886,10169665,191236071,Seealp,10,9057 Wasserauen,3112,AI,real,True,23.07.2024,2747566,1236531
100726077,10162475,191537994,Pfannenstielstrasse,28a,9058 Brülisau,3112,AI,real,True,23.07.2024,2752851,1239318
100727052,10155647,191537957,Triebernstrasse,66,9057 Weissbad,3112,AI,real,True,23.07.2024,2748606,1240283
100728218,10162475,191537996,Pfannenstielstrasse,30,9058 Brülisau,3112,AI,real,True,23.07.2024,2753017,1239314
100728453,10173211,191537953,Tüllenstrasse,4a,9050 Appenzell,3112,AI,real,True,23.07.2024,2749108,1241021
100728499,10155647,191537956,Triebernstrasse,62a,9057 Weissbad,3112,AI,real,True,23.07.2024,2748714,1240374
100728942,10163904,191537938,Weberenstrasse,17a,9050 Appenzell,3112,AI,real,True,23.07.2024,2748770,1242269
100729037,10162486,191537998,Klosterspitzstrasse,12,9050 Appenzell,3112,AI,real,True,23.07.2024,2749305,1242030
100729841,10162486,191538000,Klosterspitzstrasse,11,9050 Appenzell,3112,AI,real,True,23.07.2024,2749255,1242020
100730151,10167310,191537964,Schwendetalstrasse,98,9057 Wasserauen,3112,AI,real,True,23.07.2024,2750275,1238901
100730863,10155647,191537959,Triebernstrasse,67a,9057 Weissbad,3112,AI,real,True,23.07.2024,2748455,1240086
100731210,10165872,191537937,Ochseneggstrasse,2a,9050 Appenzell,3112,AI,real,True,23.07.2024,2749955,1242245
100731258,10167310,191537968,Schwendetalstrasse,56a,9057 Schwende,3112,AI,real,True,23.07.2024,2750565,1239873
100731733,10029475,191537912,Alte Unterrainstrasse,36b,9050 Appenzell,3112,AI,real,True,23.07.2024,2749581,1242536
100731828,10162486,191538001,Klosterspitzstrasse,6,9050 Appenzell,3112,AI,real,True,23.07.2024,2749291,1241708
100733016,10165936,191538020,Vordere Wasserschaffen,1a,9050 Appenzell,3112,AI,real,True,23.07.2024,2746698,1241043
100733064,10165936,191538021,Vordere Wasserschaffen,1b,9050 Appenzell,3112,AI,real,True,23.07.2024,2746738,1241039
100733113,10165935,191538022,Vordere Neuenalp,1b,9057 Weissbad,3112,AI,real,True,23.07.2024,2748050,1239348
100734312,10029491,191538014,Unterer Orlehan,1a,9050 Appenzell,3112,AI,real,True,23.07.2024,2748125,1240793
100735875,10164850,191538019,Obere Helchen,1a,9050 Appenzell,3112,AI,real,True,23.07.2024,2747273,1241029
100780676,10155647,191235451,Triebernstrasse,36a,9057 Weissbad,3112,AI,real,True,23.07.2024,2749973,1241109
100780771,10155649,191537211,Bergerstrasse,3a,9057 Weissbad,3112,AI,real,True,23.07.2024,2751069,1241467
100783077,10117694,191537215,Zollmoos,2,9057 Schwende,3112,AI,real,True,23.07.2024,2751036,1240832
100784112,10165924,191537206,Gross Hütten,1,9057 Wasserauen,3112,AI,real,True,23.07.2024,2749940,1237852
100785412,10155649,191537216,Bergerstrasse,31,9058 Brülisau,3112,AI,real,True,23.07.2024,2752236,1240415
100786464,10167310,191537218,Schwendetalstrasse,75b,9057 Wasserauen,3112,AI,real,True,23.07.2024,2750741,1239428
100788102,10171402,191538025,Erstböhlstrasse,18b,9057 Weissbad,3112,AI,real,True,23.07.2024,2749434,1240269
100788837,10155647,191537219,Triebernstrasse,26a,9057 Weissbad,3112,AI,real,True,23.07.2024,2750389,1241317
100789405,10166400,191537209,Schulhausstrasse,12a,9057 Schwende,3112,AI,real,True,23.07.2024,2750849,1240822
100789877,10171396,191538057,Blatten,1a,9108 Gonten,3112,AI,real,True,23.07.2024,2745171,1240770
100790017,10173583,191537192,Schäfler,1a,9057 Wasserauen,3112,AI,real,True,23.07.2024,2747730,1237991
100790064,10171394,191537196,Alp Sigel,1a,9058 Brülisau,3112,AI,real,True,23.07.2024,2752562,1238759
100790594,10171396,191538056,Blatten,1c,9108 Gonten,3112,AI,real,True,23.07.2024,2745180,1240747
100790837,10186400,191537197,Schöttlerstrasse,14a,9050 Appenzell,3112,AI,real,True,23.07.2024,2749359,1243102
