ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100240289,10167700,191388292,Stockstrasse,9,9050 Appenzell,3101,AI,real,15.11.2024,2746925.183,1243831.308
100319562,10165872,191389152,Ochseneggstrasse,1,9050 Appenzell,3112,AI,real,15.11.2024,2750104.171,1242206.482
100370026,10187551,191583791,Riedstrasse,84a,9050 Appenzell,3101,AI,real,15.11.2024,2748474.69,1243790.713
100382683,10029492,191582252,Unterrainstrasse,34a,9050 Appenzell,3112,AI,real,15.11.2024,2749349.03,1243453.539
100383014,10187551,191583734,Riedstrasse,92a,9050 Appenzell,3101,AI,real,15.11.2024,2748454.283,1243747.983
100384428,10030558,191583832,Bärenhalde,14,9050 Appenzell Schlatt,3104,AI,real,15.11.2024,2747993.729,1246957.172
100397358,10029030,191583073,Alte Eggerstandenstrasse,20a,9050 Appenzell Steinegg,3112,AI,real,15.11.2024,2751170.658,1243564.455
100419502,10030832,191583653,Kaustrasse,25a,9050 Appenzell,3101,AI,real,15.11.2024,2748369.687,1243834.353
100432756,10167585,191583192,Holzeren,2,9413 Oberegg,3111,AI,real,15.11.2024,2759234.566,1253895.187
100718469,10165877,191537737,Studen,1,9057 Weissbad,3112,AI,real,15.11.2024,2744269.259,1239614.8
100718517,10171397,191537718,Böhlhütte,1,9057 Weissbad,3112,AI,real,15.11.2024,2745077.619,1238551.93
100719775,10029488,191537935,Sonnenhalbstrasse,61a,9050 Appenzell,3112,AI,real,15.11.2024,2750289.895,1241968.362
100721773,10155647,191537955,Triebernstrasse,58,9057 Weissbad,3112,AI,real,15.11.2024,2748907.268,1240517.63
100722620,10155647,191537960,Triebernstrasse,65,9057 Weissbad,3112,AI,real,15.11.2024,2748819.639,1240336.157
100722667,10173209,191537739,Nanisaustrasse,2,9050 Appenzell Steinegg,3112,AI,real,15.11.2024,2750735.79,1242607.118
100722804,10163882,191378990,St. Josefstrasse,7a,9108 Jakobsbad,3102,AI,real,15.11.2024,2743131.945,1242461.997
100723229,10164583,191537952,Gächtenstrasse,5,9050 Appenzell,3112,AI,real,15.11.2024,2748927.555,1241125.018
100723415,10029475,191537911,Alte Unterrainstrasse,34c,9050 Appenzell,3112,AI,real,15.11.2024,2749409.079,1242642.57
100724256,10029488,191537913,Sonnenhalbstrasse,44c,9050 Appenzell,3112,AI,real,15.11.2024,2749693.197,1242505.971
100724588,10164599,191537972,Leugangenstrasse,12a,9057 Weissbad,3112,AI,real,15.11.2024,2751344.576,1239722.278
100724680,10171402,191537948,Erstböhlstrasse,13a,9057 Weissbad,3112,AI,real,15.11.2024,2750064.401,1240256.498
100724867,10155647,191537961,Triebernstrasse,59,9057 Weissbad,3112,AI,real,15.11.2024,2748987.162,1240439.812
100725048,10163882,191378991,St. Josefstrasse,7b,9108 Jakobsbad,3102,AI,real,15.11.2024,2743119.675,1242444.399
100725144,10165872,191537936,Ochseneggstrasse,2b,9050 Appenzell,3112,AI,real,15.11.2024,2749987.562,1242303.315
100725237,10167310,191537970,Schwendetalstrasse,63a,9057 Schwende,3112,AI,real,15.11.2024,2750997.745,1239783.873
100725421,10089327,190166455,Bilchenstrasse,14a,9050 Appenzell Eggerstanden,3112,AI,real,15.11.2024,2753217.154,1244938.77
100725606,10155647,191537963,Triebernstrasse,51,9057 Weissbad,3112,AI,real,15.11.2024,2749209.526,1240545.929
100725886,10169665,191236071,Seealp,10,9057 Wasserauen,3112,AI,real,15.11.2024,2747565.697,1236531.247
100726077,10162475,191537994,Pfannenstielstrasse,28a,9058 Brülisau,3112,AI,real,15.11.2024,2752851.207,1239318.29
100727052,10155647,191537957,Triebernstrasse,66,9057 Weissbad,3112,AI,real,15.11.2024,2748606.163,1240282.534
100728218,10162475,191537996,Pfannenstielstrasse,30,9058 Brülisau,3112,AI,real,15.11.2024,2753017.355,1239314.443
100728453,10173211,191537953,Tüllenstrasse,4a,9050 Appenzell,3112,AI,real,15.11.2024,2749107.99,1241021.356
100728499,10155647,191537956,Triebernstrasse,62a,9057 Weissbad,3112,AI,real,15.11.2024,2748713.564,1240374.201
100728942,10163904,191537938,Weberenstrasse,17a,9050 Appenzell,3112,AI,real,15.11.2024,2748770.28,1242268.966
100729037,10162486,191537998,Klosterspitzstrasse,12,9050 Appenzell,3112,AI,real,15.11.2024,2749305.069,1242029.744
100729841,10162486,191538000,Klosterspitzstrasse,11,9050 Appenzell,3112,AI,real,15.11.2024,2749254.789,1242019.589
100730151,10167310,191537964,Schwendetalstrasse,98,9057 Wasserauen,3112,AI,real,15.11.2024,2750275.254,1238901.448
100730863,10155647,191537959,Triebernstrasse,67a,9057 Weissbad,3112,AI,real,15.11.2024,2748454.589,1240086.006
100731210,10165872,191537937,Ochseneggstrasse,2a,9050 Appenzell,3112,AI,real,15.11.2024,2749955.314,1242244.838
100731258,10167310,191537968,Schwendetalstrasse,56a,9057 Schwende,3112,AI,real,15.11.2024,2750564.677,1239872.663
100731733,10029475,191537912,Alte Unterrainstrasse,36b,9050 Appenzell,3112,AI,real,15.11.2024,2749580.864,1242536.282
100731828,10162486,191538001,Klosterspitzstrasse,6,9050 Appenzell,3112,AI,real,15.11.2024,2749290.633,1241707.968
100733016,10165936,191538020,Vordere Wasserschaffen,1a,9050 Appenzell,3112,AI,real,15.11.2024,2746698.375,1241042.82
100733064,10165936,191538021,Vordere Wasserschaffen,1b,9050 Appenzell,3112,AI,real,15.11.2024,2746737.818,1241039.381
100733113,10165935,191538022,Vordere Neuenalp,1b,9057 Weissbad,3112,AI,real,15.11.2024,2748049.65,1239347.998
100734312,10029491,191538014,Unterer Orlehan,1a,9050 Appenzell,3112,AI,real,15.11.2024,2748125.282,1240792.922
100735875,10164850,191538019,Obere Helchen,1a,9050 Appenzell,3112,AI,real,15.11.2024,2747273.018,1241028.572
100780676,10155647,191235451,Triebernstrasse,36a,9057 Weissbad,3112,AI,real,15.11.2024,2749973.406,1241108.859
100780771,10155649,191537211,Bergerstrasse,3a,9057 Weissbad,3112,AI,real,15.11.2024,2751068.69,1241467.062
100783077,10117694,191537215,Zollmoos,2,9057 Schwende,3112,AI,real,15.11.2024,2751035.82,1240832.151
100784112,10165924,191537206,Gross Hütten,1,9057 Wasserauen,3112,AI,real,13.11.2025,2749943.12,1237851.308
100785412,10155649,191537216,Bergerstrasse,31,9058 Brülisau,3112,AI,real,15.11.2024,2752236.21,1240415.159
100786464,10167310,191537218,Schwendetalstrasse,75b,9057 Wasserauen,3112,AI,real,15.11.2024,2750740.751,1239427.637
100788102,10171402,191538025,Erstböhlstrasse,18b,9057 Weissbad,3112,AI,real,15.11.2024,2749433.858,1240269.247
100789405,10166400,191537209,Schulhausstrasse,12a,9057 Schwende,3112,AI,real,15.11.2024,2750848.511,1240822.071
100789877,10171396,191538057,Blatten,1a,9108 Gonten,3112,AI,real,15.11.2024,2745170.661,1240769.633
100790017,10173583,191537192,Schäfler,1a,9057 Wasserauen,3112,AI,real,15.11.2024,2747730.242,1237990.97
100790064,10171394,191537196,Alp Sigel,1a,9058 Brülisau,3112,AI,real,15.11.2024,2752562.405,1238758.502
100790594,10171396,191538056,Blatten,1c,9108 Gonten,3112,AI,real,15.11.2024,2745179.777,1240747.216
100790837,10186400,191537197,Schöttlerstrasse,14a,9050 Appenzell,3112,AI,real,15.11.2024,2749359.176,1243102.183
100791239,10162494,191538053,Vordere Wartegg,1a,9057 Weissbad,3112,AI,real,15.11.2024,2745658.944,1240234.872
100791286,10165933,191538054,Pfarrersnord,1b,9057 Weissbad,3112,AI,real,15.11.2024,2745838.57,1240511.795
100791287,10165933,191538055,Pfarrersnord,1a,9057 Weissbad,3112,AI,real,15.11.2024,2745859.948,1240504.694
100791795,10029494,191537210,Weissbadstrasse,13b,9050 Appenzell,3112,AI,real,15.11.2024,2749188.719,1243944.246
100792757,10164849,191538035,Obere Bommen,1a,9057 Weissbad,3112,AI,real,15.11.2024,2749786.1,1239222.845
100793807,10164594,191538058,Hintere Wasserschaffen,1b,9050 Appenzell,3112,AI,real,15.11.2024,2746289.288,1240981.048
100794044,10155647,191537204,Triebernstrasse,68b,9057 Weissbad,3112,AI,real,15.11.2024,2748336.26,1240067.922
100796318,10164585,191537195,Gartenalp,10,9057 Weissbad,3112,AI,real,15.11.2024,2748276.06,1238241.084
100798834,10159475,191234810,Lankstrasse,3e,9050 Appenzell,3102,AI,real,15.11.2024,2747810.643,1245803.603
100799173,10029488,191537225,Sonnenhalbstrasse,57a,9050 Appenzell,3112,AI,real,15.11.2024,2750521.754,1242206.381
100800280,10155570,191537221,Parkstrasse,19a,9057 Weissbad,3112,AI,real,15.11.2024,2750782.833,1241957.209
100801074,10029494,191537222,Weissbadstrasse,27c,9050 Appenzell,3112,AI,real,15.11.2024,2749242.886,1243945.196
100801263,10164593,191537223,Haslerstegstrasse,17,9050 Appenzell,3112,AI,real,15.11.2024,2750496.277,1242324.556
100801357,10029488,191537224,Sonnenhalbstrasse,77,9050 Appenzell,3112,AI,real,15.11.2024,2749915.778,1241626.19
100801593,10029494,191537233,Weissbadstrasse,12a,9050 Appenzell,3112,AI,real,15.11.2024,2749118.037,1243938.86
100802387,10022500,191537245,Unterau,61a,9057 Weissbad,3112,AI,real,15.11.2024,2751022.153,1241231.853
100828279,10167310,191537199,Schwendetalstrasse,65c,9057 Schwende,3112,AI,real,15.11.2024,2751141.051,1239645.294
100829295,10071860,191538013,Mittlerer Orlehan,2,9050 Appenzell,3112,AI,real,15.11.2024,2748007.87,1240969.229
100829723,10162486,191538005,Klosterspitzstrasse,15b,9050 Appenzell,3112,AI,real,15.11.2024,2748547.625,1241567.005
100830284,10029488,191383811,Sonnenhalbstrasse,38a,9050 Appenzell,3112,AI,real,15.11.2024,2749492.23,1242842.956
100831103,10174249,191537185,Hornstrasse,6b,9057 Schwende,3112,AI,real,15.11.2024,2750365.865,1240304.888
100833231,10162487,191538018,Mittlere Helchen,1a,9050 Appenzell,3112,AI,real,15.11.2024,2747258.006,1240761.202
100833838,10164852,191538012,Oberer Orlehahn,1a,9050 Appenzell,3112,AI,real,15.11.2024,2747862.794,1241015.009
100835144,10162486,191538006,Klosterspitzstrasse,15c,9050 Appenzell,3112,AI,real,15.11.2024,2748572.589,1241583.038
100835333,10163902,191538016,Untere Helchen,1b,9050 Appenzell,3112,AI,real,15.11.2024,2747311.946,1240414.184
100836490,10155647,191537187,Triebernstrasse,75,9057 Weissbad,3112,AI,real,15.11.2024,2747622.374,1239801.807
100836970,10163902,191538017,Untere Helchen,1a,9050 Appenzell,3112,AI,real,15.11.2024,2747291.557,1240444.208
100838663,10111458,191537275,Brachenstrasse,19a,9050 Appenzell,3112,AI,real,15.11.2024,2749536.228,1243256.663
100840901,10071868,191537296,Unterer Schöttler,26d,9050 Appenzell,3112,AI,real,15.11.2024,2749366.628,1243229.345
100843234,10029478,191537276,Ebnistrasse,8a,9050 Appenzell,3112,AI,real,15.11.2024,2749610.249,1243115.104
100843282,10071872,191537277,Zidler,48,9057 Weissbad,3112,AI,real,27.09.2025,2751075.142,1241286.582
100843330,10167310,191537279,Schwendetalstrasse,82b,9057 Wasserauen,3112,AI,real,15.11.2024,2750524.302,1239232.457
100843426,10029488,191537282,Sonnenhalbstrasse,77a,9050 Appenzell,3112,AI,real,15.11.2024,2749900.67,1241636.232
100845715,10155572,191537287,Dorf,11a,9057 Weissbad,3112,AI,real,15.11.2024,2750891.107,1241760.395
100845859,10155577,191537299,Tonimareies,2a,9050 Appenzell,3112,AI,real,15.11.2024,2749901.134,1243457.951
100845956,10029494,191537227,Weissbadstrasse,59a,9050 Appenzell,3112,AI,real,15.11.2024,2749485.814,1243707.149
100846402,10111459,191537280,Nollenstrasse,39a,9050 Appenzell,3112,AI,real,15.11.2024,2749947.919,1243264.487
100847017,10022500,191537273,Unterau,84,9057 Weissbad,3112,AI,real,15.11.2024,2750977.906,1241149.214
100848109,10111459,191537297,Nollenstrasse,20a,9050 Appenzell,3112,AI,real,15.11.2024,2749654.108,1243312.455
100848204,10029476,191537301,Brestenburg,2a,9050 Appenzell,3112,AI,real,15.11.2024,2749414.282,1243473.278
100848252,10167310,191537226,Schwendetalstrasse,40a,9057 Schwende,3112,AI,real,15.11.2024,2750979.434,1240653.543
100849594,10071864,191537294,Scheregg,40,9057 Weissbad,3112,AI,real,27.09.2025,2751145.729,1241325.2
100849741,10187576,191537303,Brüggliweg,5a,9050 Appenzell,3112,AI,real,15.11.2024,2749329.511,1243724.026
100850123,10029494,191537274,Weissbadstrasse,16a,9050 Appenzell,3112,AI,real,15.11.2024,2749214.863,1243860.982
100850503,10155577,191537338,Tonimareies,10a,9050 Appenzell,3112,AI,real,15.11.2024,2749954.028,1243445.105
100850551,10186400,191537304,Schöttlerstrasse,35a,9050 Appenzell,3112,AI,real,15.11.2024,2749431.696,1243044.656
100852444,10029495,191537325,Wolfsböhlstrasse,2a,9050 Appenzell,3112,AI,real,15.11.2024,2749501.535,1243136.45
100853062,10187576,191537300,Brüggliweg,2b,9050 Appenzell,3112,AI,real,15.11.2024,2749270.9,1243739.617
100853299,10029478,191537327,Ebnistrasse,5a,9050 Appenzell,3112,AI,real,15.11.2024,2749638.341,1243147.74
100853685,10071868,191537292,Unterer Schöttler,28a,9050 Appenzell,3112,AI,real,15.11.2024,2749326.547,1243264.094
100853828,10029492,191537302,Unterrainstrasse,44b,9050 Appenzell,3112,AI,real,15.11.2024,2749396.911,1243441.767
100854829,10029479,191537328,Forrenstrasse,23a,9050 Appenzell,3112,AI,real,15.11.2024,2749734.235,1243244.933
100855732,10029479,191537332,Forrenstrasse,22a,9050 Appenzell,3112,AI,real,15.11.2024,2749791.203,1243221.026
100855973,10186400,191537298,Schöttlerstrasse,16a,9050 Appenzell,3112,AI,real,15.11.2024,2749321.446,1243127.815
100856610,10029492,191537336,Unterrainstrasse,44a,9050 Appenzell,3112,AI,real,15.11.2024,2749410.728,1243408.564
100856896,10029495,191537317,Wolfsböhlstrasse,11b,9050 Appenzell,3112,AI,real,15.11.2024,2749572.189,1243098.957
100857134,10155570,191537329,Parkstrasse,15a,9057 Weissbad,3112,AI,real,15.11.2024,2750773.521,1241892.905
100858438,10155647,191537319,Triebernstrasse,15a,9057 Weissbad,3112,AI,real,15.11.2024,2750837.779,1241482.541
100859601,10029492,191537334,Unterrainstrasse,23a,9050 Appenzell,3112,AI,real,15.11.2024,2749359.996,1243530.229
100859696,10029476,191537337,Brestenburg,2b,9050 Appenzell,3112,AI,real,15.11.2024,2749400.312,1243485.306
