ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100001025,10032180,11526840,Lachen,933,9428 Walzenhausen,3037,AR,real,True,23.07.2024,2761778,1256616
100001756,10130100,11527334,Sonnhalde,12,9107 Urnäsch,3006,AR,real,True,23.07.2024,2739509,1242514
100001988,10090131,11528717,Zumm,511,9063 Stein AR,3005,AR,real,True,23.07.2024,2743630,1249997
100002007,10031795,11528801,Auf Stein,926,9063 Stein AR,3005,AR,real,True,23.07.2024,2743919,1248228
100002322,10126224,2004849,Blumenberg,17,9055 Bühler,3021,AR,real,True,23.07.2024,2750025,1249057
100002323,10089883,2008783,Sturzenhard,3,9411 Reute AR,3035,AR,real,True,23.07.2024,2761432,1253083
100002677,10032210,11514839,Alte Haslenstrasse,35,9053 Teufen AR,3024,AR,real,True,23.07.2024,2747342,1250172
100002678,10067889,11514840,Lortanne,1b,9053 Teufen AR,3024,AR,real,True,23.07.2024,2747938,1250886
100002679,10067889,11514841,Lortanne,1a,9053 Teufen AR,3024,AR,real,True,23.07.2024,2747941,1250892
100002730,10067629,11527737,Mittelbissaustrasse,1a,9410 Heiden,3032,AR,real,True,23.07.2024,2758033,1256544
100002976,10146196,11524811,Böhlstrasse,9,9055 Bühler,3021,AR,real,True,23.07.2024,2748710,1248989
100002997,10030658,11524900,Obere Täschenstrasse,7a,9410 Heiden,3032,AR,real,False,23.07.2024,2757707,1256368
100002998,10067624,11524901,Bärlochen,1723,9410 Heiden,3032,AR,real,True,23.07.2024,2758710,1256630
100002999,10067627,11524903,Im Bad,1,9410 Heiden,3032,AR,real,True,23.07.2024,2757745,1257075
100003000,10110002,11524904,Hasenbühlweg,12,9410 Heiden,3032,AR,real,True,23.07.2024,2757641,1256963
100003001,10121208,11524907,Bischofsberg,1852,9410 Heiden,3032,AR,real,True,23.07.2024,2757826,1255528
100003195,10031872,11513466,Au,1,9037 Speicherschwendi,3023,AR,real,True,23.07.2024,2750852,1254768
100003196,10031887,11513467,Hohrüti,24b,9042 Speicher,3023,AR,real,True,23.07.2024,2750994,1253751
