ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100001025,10032180,11526840,Lachen,933,9428 Walzenhausen,3037,AR,real,15.11.2024,2761778.042,1256616.109
100001756,10130100,11527334,Sonnhalde,12,9107 Urnäsch,3006,AR,real,15.11.2024,2739508.857,1242514.173
100001988,10090131,11528717,Zumm,511,9063 Stein AR,3005,AR,real,15.11.2024,2743630.344,1249996.595
100002007,10031795,11528801,Auf Stein,926,9063 Stein AR,3005,AR,real,15.11.2024,2743918.9,1248228.037
100002322,10126224,2004849,Blumenberg,17,9055 Bühler,3021,AR,real,15.11.2024,2750025.189,1249056.702
100002323,10089883,2008783,Sturzenhard,3,9411 Reute AR,3035,AR,real,15.11.2024,2761432.452,1253083.462
100002677,10032210,11514839,Alte Haslenstrasse,35,9053 Teufen AR,3024,AR,real,15.11.2024,2747341.751,1250172.429
100002678,10067889,11514840,Lortanne,1b,9053 Teufen AR,3024,AR,real,15.11.2024,2747938.363,1250885.953
100002679,10067889,11514841,Lortanne,1a,9053 Teufen AR,3024,AR,real,15.11.2024,2747940.746,1250891.527
100002730,10067629,11527737,Mittelbissaustrasse,1a,9410 Heiden,3032,AR,real,15.11.2024,2758032.885,1256543.637
100002976,10146196,11524811,Böhlstrasse,9,9055 Bühler,3021,AR,real,15.11.2024,2748710.486,1248989.221
100002997,10030658,11524900,Obere Täschenstrasse,7a,9410 Heiden,3032,AR,real,15.11.2024,2757707.428,1256367.596
100002998,10067624,11524901,Bärlochen,1723,9410 Heiden,3032,AR,real,15.11.2024,2758710.029,1256630.181
100002999,10067627,11524903,Im Bad,1,9410 Heiden,3032,AR,real,15.11.2024,2757745.028,1257074.618
100003000,10110002,11524904,Hasenbühlweg,12,9410 Heiden,3032,AR,real,15.11.2024,2757640.698,1256962.575
100003001,10121208,11524907,Bischofsberg,1852,9410 Heiden,3032,AR,real,15.11.2024,2757826.226,1255528.075
100003195,10031872,11513466,Au,1,9037 Speicherschwendi,3023,AR,real,15.11.2024,2750851.79,1254768.408
100003196,10031887,11513467,Hohrüti,24b,9042 Speicher,3023,AR,real,15.11.2024,2750994.324,1253750.917
100003197,10067873,11513468,Steinegg,22,9042 Speicher,3023,AR,real,15.11.2024,2750880.475,1252584.334
100003198,10103252,11513470,St. Gallerstrasse,7,9042 Speicher,3023,AR,real,15.11.2024,2750732.851,1253588.622
100003199,10188184,11513471,Oberdorf,27a,9042 Speicher,3023,AR,real,15.11.2024,2750987.392,1252813.656
100003233,10090183,11524978,Obere Steinegg,3,9042 Speicher,3023,AR,real,15.11.2024,2750942.082,1252647.505
