ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000007,10121046,11514433,Tramstrasse,3,4133 Pratteln,2831,BL,real,15.11.2024,2619367.528,1263371.273
100000023,10188152,11514468,Schulstrasse,4,4450 Sissach,2861,BL,real,15.11.2024,2627925.218,1257203.437
100000024,10153504,11514469,Unter der Fluh,22a,4450 Sissach,2861,BL,real,15.11.2024,2628273.863,1258675.737
100000053,10124674,11527455,Adlergasse,13b,4402 Frenkendorf,2824,BL,real,15.11.2024,2620521.092,1261566.505
100000079,10087743,11527526,Schaienweg,5,4107 Ettingen,2768,BL,real,15.11.2024,2607840.479,1258729.089
100000153,10027088,11514058,Im Gründli,11,4244 Röschenz,2791,BL,real,15.11.2024,2602847.694,1253128.742
100000154,10108742,11514061,Eulenweg,13,4244 Röschenz,2791,BL,real,15.11.2024,2602301.048,1252856.475
100000452,10063262,11514998,Im Klosteracker,51,4102 Binningen,2765,BL,real,15.11.2024,2609311.033,1264288.012
100000453,10063262,11514999,Im Klosteracker,53,4102 Binningen,2765,BL,real,15.11.2024,2609296.268,1264289.29
100000454,10132125,11515000,Margarethenstrasse,4,4102 Binningen,2765,BL,real,15.11.2024,2610516.735,1265602.015
100000455,10120333,11515001,Neuhofweg,46,4102 Binningen,2765,BL,real,15.11.2024,2609131.619,1264771.98
100000481,10096478,11515039,Kundmattweg,32,4246 Wahlen b. Laufen,2792,BL,real,15.11.2024,2605599.943,1249930.349
100000482,10074027,11515040,Zweigenweg,17,4246 Wahlen b. Laufen,2792,BL,real,15.11.2024,2605911.412,1249857.587
100000483,10096478,11515041,Kundmattweg,34,4246 Wahlen b. Laufen,2792,BL,real,15.11.2024,2605609.297,1249915.61
100000484,10027100,11515042,Grindelstrasse,10,4246 Wahlen b. Laufen,2792,BL,real,15.11.2024,2605788.063,1249962.779
100000485,10140477,11515043,Hinterleymenweg,6b,4246 Wahlen b. Laufen,2792,BL,real,15.11.2024,2605685.894,1250106.034
100000628,10116686,11513663,Chillmattenstrasse,9,4105 Biel-Benken BL,2764,BL,real,15.11.2024,2606219.99,1261553.49
100000640,10131669,11513691,Birsigstrasse,6,4105 Biel-Benken BL,2764,BL,real,15.11.2024,2606191.456,1261561.694
100000641,10131669,11513692,Birsigstrasse,16,4105 Biel-Benken BL,2764,BL,real,15.11.2024,2606201.717,1261593.672
100000642,10131669,11513693,Birsigstrasse,20,4105 Biel-Benken BL,2764,BL,real,15.11.2024,2606221.38,1261591.463
100000657,10086946,11513725,Dentschenstrasse,5,4207 Bretzwil,2883,BL,real,15.11.2024,2616072.09,1249713.749
100000807,10026842,11514546,Lettenweg,24,4466 Ormalingen,2856,BL,real,15.11.2024,2633088.81,1258327.566
