ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100001702,10074950,11527222,Rudolf Wackernagel-Strasse,92,4125 Riehen,2703,BS,real,True,15.11.2024,2615807,1268994
100002406,10026590,11526650,Obere Weid,29,4125 Riehen,2703,BS,real,True,15.11.2024,2616273,1270028
100002797,10026590,11527013,Obere Weid,35,4125 Riehen,2703,BS,real,True,15.11.2024,2616307,1270019
100240842,10087384,461537,Niederholzstrasse,67,4125 Riehen,2703,BS,real,True,15.11.2024,2614778,1269203
100240843,10087384,461538,Niederholzstrasse,75,4125 Riehen,2703,BS,real,True,15.11.2024,2614774,1269171
100240844,10087384,461539,Niederholzstrasse,77,4125 Riehen,2703,BS,real,True,15.11.2024,2614773,1269163
100240845,10087384,461540,Niederholzstrasse,79,4125 Riehen,2703,BS,real,True,15.11.2024,2614774,1269148
100240846,10087384,461541,Niederholzstrasse,81,4125 Riehen,2703,BS,real,True,15.11.2024,2614766,1269123
100240847,10087384,461542,Niederholzstrasse,95,4125 Riehen,2703,BS,real,True,15.11.2024,2614747,1268996
100240848,10087384,461543,Niederholzstrasse,2,4125 Riehen,2703,BS,real,True,15.11.2024,2614789,1269464
100240849,10087384,461544,Niederholzstrasse,12,4125 Riehen,2703,BS,real,True,15.11.2024,2614784,1269428
100240850,10087384,461545,Niederholzstrasse,14,4125 Riehen,2703,BS,real,True,15.11.2024,2614784,1269421
100240987,10045935,461654,Rauracherstrasse,159,4125 Riehen,2703,BS,real,True,15.11.2024,2614803,1268563
100240988,10045935,461655,Rauracherstrasse,161,4125 Riehen,2703,BS,real,True,15.11.2024,2614818,1268523
100240989,10045935,461656,Rauracherstrasse,163,4125 Riehen,2703,BS,real,True,15.11.2024,2614820,1268529
100240990,10045935,461657,Rauracherstrasse,165,4125 Riehen,2703,BS,real,True,15.11.2024,2614821,1268533
100240991,10045935,461658,Rauracherstrasse,167,4125 Riehen,2703,BS,real,True,15.11.2024,2614823,1268539
100240992,10045935,461659,Rauracherstrasse,169,4125 Riehen,2703,BS,real,True,15.11.2024,2614825,1268543
100240993,10045935,461660,Rauracherstrasse,171,4125 Riehen,2703,BS,real,True,15.11.2024,2614826,1268549
100240994,10045935,461661,Rauracherstrasse,173,4125 Riehen,2703,BS,real,True,15.11.2024,2614846,1268508
100240995,10045935,461662,Rauracherstrasse,175,4125 Riehen,2703,BS,real,True,15.11.2024,2614847,1268513
100240996,10045935,461663,Rauracherstrasse,177,4125 Riehen,2703,BS,real,True,15.11.2024,2614848,1268519
100240997,10045935,461664,Rauracherstrasse,179,4125 Riehen,2703,BS,real,True,15.11.2024,2614849,1268524
100240998,10045935,461665,Rauracherstrasse,181,4125 Riehen,2703,BS,real,True,15.11.2024,2614851,1268529
100240999,10045935,461666,Rauracherstrasse,183,4125 Riehen,2703,BS,real,True,15.11.2024,2614852,1268534
100241000,10045935,461667,Rauracherstrasse,24,4125 Riehen,2703,BS,real,True,15.11.2024,2614498,1268983
100241001,10045935,461668,Rauracherstrasse,30,4125 Riehen,2703,BS,real,True,15.11.2024,2614536,1268953
100241002,10045935,461669,Rauracherstrasse,32,4125 Riehen,2703,BS,real,True,15.11.2024,2614546,1268939
100241003,10045935,461670,Rauracherstrasse,34,4125 Riehen,2703,BS,real,True,15.11.2024,2614557,1268927
100241004,10045935,461671,Rauracherstrasse,36,4125 Riehen,2703,BS,real,True,15.11.2024,2614568,1268911
100241005,10045935,461672,Rauracherstrasse,38,4125 Riehen,2703,BS,real,True,15.11.2024,2614578,1268899
100241006,10045935,461673,Rauracherstrasse,40,4125 Riehen,2703,BS,real,True,15.11.2024,2614589,1268885
100241007,10045935,461674,Rauracherstrasse,42,4125 Riehen,2703,BS,real,True,15.11.2024,2614605,1268865
100241008,10045935,461675,Rauracherstrasse,44,4125 Riehen,2703,BS,real,True,15.11.2024,2614617,1268849
100241009,10045935,461676,Rauracherstrasse,114,4125 Riehen,2703,BS,real,True,15.11.2024,2614678,1268724
100241010,10045935,461677,Rauracherstrasse,116,4125 Riehen,2703,BS,real,True,15.11.2024,2614683,1268698
100241011,10045935,461678,Rauracherstrasse,118,4125 Riehen,2703,BS,real,True,15.11.2024,2614687,1268683
100241012,10045935,461679,Rauracherstrasse,120,4125 Riehen,2703,BS,real,True,15.11.2024,2614701,1268644
100241013,10045935,461680,Rauracherstrasse,122,4125 Riehen,2703,BS,real,True,15.11.2024,2614704,1268637
100241014,10045935,461681,Rauracherstrasse,124,4125 Riehen,2703,BS,real,True,15.11.2024,2614707,1268629
100241015,10045935,461682,Rauracherstrasse,126,4125 Riehen,2703,BS,real,True,15.11.2024,2614709,1268622
100241016,10045935,461683,Rauracherstrasse,128,4125 Riehen,2703,BS,real,True,15.11.2024,2614714,1268610
100241017,10045935,461684,Rauracherstrasse,130,4125 Riehen,2703,BS,real,True,15.11.2024,2614717,1268602
100241018,10045935,461685,Rauracherstrasse,132,4125 Riehen,2703,BS,real,True,15.11.2024,2614720,1268594
100241019,10045935,461686,Rauracherstrasse,134,4125 Riehen,2703,BS,real,True,15.11.2024,2614723,1268587
100241020,10045935,461687,Rauracherstrasse,136,4125 Riehen,2703,BS,real,True,15.11.2024,2614729,1268574
100241177,10024820,461152,Aeussere Baselstrasse,391a,4125 Riehen,2703,BS,real,True,15.11.2024,2613952,1268949
100241178,10024820,461153,Aeussere Baselstrasse,393,4125 Riehen,2703,BS,real,True,15.11.2024,2613919,1268939
100241179,10063859,461154,Bäumlihofstrasse,305,4125 Riehen,2703,BS,real,True,15.11.2024,2613901,1268776
100241180,10024820,461155,Aeussere Baselstrasse,236,4125 Riehen,2703,BS,real,True,15.11.2024,2614849,1269554
100241182,10024820,461156,Aeussere Baselstrasse,238,4125 Riehen,2703,BS,real,True,15.11.2024,2614846,1269553
100241183,10024820,461157,Aeussere Baselstrasse,240,4125 Riehen,2703,BS,real,True,15.11.2024,2614837,1269547
100241184,10024820,461158,Aeussere Baselstrasse,242,4125 Riehen,2703,BS,real,True,15.11.2024,2614829,1269544
100241185,10024820,461159,Aeussere Baselstrasse,244,4125 Riehen,2703,BS,real,True,15.11.2024,2614809,1269541
