ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100001702,10074950,11527222,Rudolf Wackernagel-Strasse,92,4125 Riehen,2703,BS,real,15.11.2024,2615806.858,1268994.442
100002406,10026590,11526650,Obere Weid,29,4125 Riehen,2703,BS,real,15.11.2024,2616272.59,1270027.644
100002797,10026590,11527013,Obere Weid,35,4125 Riehen,2703,BS,real,15.11.2024,2616306.589,1270018.645
100240842,10087384,461537,Niederholzstrasse,67,4125 Riehen,2703,BS,real,15.11.2024,2614777.793,1269203.371
100240843,10087384,461538,Niederholzstrasse,75,4125 Riehen,2703,BS,real,15.11.2024,2614773.967,1269170.723
100240844,10087384,461539,Niederholzstrasse,77,4125 Riehen,2703,BS,real,15.11.2024,2614773.149,1269163.431
100240845,10087384,461540,Niederholzstrasse,79,4125 Riehen,2703,BS,real,15.11.2024,2614773.747,1269147.881
100240846,10087384,461541,Niederholzstrasse,81,4125 Riehen,2703,BS,real,15.11.2024,2614766.088,1269122.744
100240847,10087384,461542,Niederholzstrasse,95,4125 Riehen,2703,BS,real,15.11.2024,2614746.507,1268996.372
100240848,10087384,461543,Niederholzstrasse,2,4125 Riehen,2703,BS,real,15.11.2024,2614788.779,1269464.474
100240849,10087384,461544,Niederholzstrasse,12,4125 Riehen,2703,BS,real,15.11.2024,2614784.497,1269427.781
100240850,10087384,461545,Niederholzstrasse,14,4125 Riehen,2703,BS,real,15.11.2024,2614783.7,1269420.774
100240987,10045935,461654,Rauracherstrasse,159,4125 Riehen,2703,BS,real,15.11.2024,2614803.042,1268563.447
100240988,10045935,461655,Rauracherstrasse,161,4125 Riehen,2703,BS,real,15.11.2024,2614817.754,1268523.219
100240989,10045935,461656,Rauracherstrasse,163,4125 Riehen,2703,BS,real,15.11.2024,2614819.631,1268528.63
