ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000025,10021023,11514472,Lanthen,10,3185 Schmitten FR,2305,FR,real,15.11.2024,2585798.084,1188466.936
100000085,10072617,11527542,Route de Schiffenen,9a,1700 Fribourg,2196,FR,real,15.11.2024,2579687.378,1184997.604
100000087,10121678,11527586,Le Bastillon,24,1563 Dompierre FR,2053,FR,real,15.11.2024,2565457.994,1189008.967
100000088,10121678,11527587,Le Bastillon,28,1563 Dompierre FR,2053,FR,real,15.11.2024,2565433.565,1189038.269
100000089,10185737,11527588,Le Grésalley,16,1695 Rueyres-St-Laurent,2236,FR,real,15.11.2024,2569059.501,1173393.5
100000117,10151832,11513974,Route de la Gruyère,36,1634 La Roche FR,2149,FR,real,15.11.2024,2576705.119,1171334.945
100000123,10114964,11513980,Panoramastrasse,31,1712 Tafers,2306,FR,real,15.11.2024,2581272.827,1184461.139
100000124,10114964,11513982,Panoramastrasse,39,1712 Tafers,2306,FR,real,15.11.2024,2581217.824,1184448.942
100000125,10052448,11513983,Tavernastrasse,29,1712 Tafers,2306,FR,real,15.11.2024,2583190.088,1185366.344
100000135,10143305,11514029,Route du Pra Derrey,7,1653 Crésuz,2130,FR,real,15.11.2024,2577166.856,1163219.485
100000437,10132769,11514971,Berghölzli,8,1719 Brünisried,2292,FR,real,15.11.2024,2587998.834,1177773.847
100000438,10090525,11514975,Oberi Matta,44,1719 Brünisried,2292,FR,real,15.11.2024,2587609.139,1178877.817
100000439,10159731,11514976,Bergstrasse,40,1719 Brünisried,2292,FR,real,15.11.2024,2587742.69,1178458.894
100000440,10181117,11514977,Taneweier,5,1719 Brünisried,2292,FR,real,15.11.2024,2587698.345,1179044.56
100000441,10090525,11514979,Oberi Matta,11,1719 Brünisried,2292,FR,real,15.11.2024,2587579.86,1178908.956
100000442,10159731,11514980,Bergstrasse,111,1719 Brünisried,2292,FR,real,15.11.2024,2588036.866,1177337.913
100000443,10159732,11514981,Buechechäppeliweg,9,1719 Brünisried,2292,FR,real,15.11.2024,2587930.643,1177423.155
100000444,10132769,11514985,Berghölzli,42,1719 Brünisried,2292,FR,real,15.11.2024,2588054.545,1177710.713
100000445,10132769,11514987,Berghölzli,32,1719 Brünisried,2292,FR,real,15.11.2024,2588017.608,1177715.428
100000446,10090525,11514988,Oberi Matta,15,1719 Brünisried,2292,FR,real,15.11.2024,2587568.208,1178925.505
100000451,10022876,11514996,Route des Brévires,20,1741 Cottens FR,2186,FR,real,15.11.2024,2569346.231,1178365.467
