ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000045,10049073,11527430,Chemin du Môlan,39bis,1223 Cologny,6617,GE,real,05.05.2026,2503264.038,1118173.596
100000070,10121284,11527494,Chemin BYRON,27,1223 Cologny,6617,GE,real,05.05.2026,2503265.501,1119731.183
100000671,10095994,11513759,Chemin de la Chênaie,15b,1293 Bellevue,6606,GE,real,05.05.2026,2500291.639,1123334.521
100000672,10095994,11513760,Chemin de la Chênaie,15c,1293 Bellevue,6606,GE,real,05.05.2026,2500276.276,1123338.867
100000673,10095994,11513761,Chemin de la Chênaie,15d,1293 Bellevue,6606,GE,real,05.05.2026,2500255.922,1123344.627
100000679,10048835,11513771,Route d'Hermance,259bis,1247 Anières,6602,GE,real,15.11.2024,2506017.584,1125199.827
100000815,10049037,11514604,Chemin du Crest-d'El,7,1239 Collex,6615,GE,real,05.05.2026,2498952.669,1124667.808
100000816,10102580,11514610,Chemin des Sansonnets,7,1222 Vésenaz,6616,GE,real,05.05.2026,2505059.567,1121319.834
100000817,10049049,11514611,Chemin de Sous-Caran,39,1245 Collonge-Bellerive,6616,GE,real,05.05.2026,2504096.52,1122708.789
100000823,10083778,11514618,Chemin du Coq-d'Inde,10b,1223 Cologny,6617,GE,real,05.05.2026,2503772.916,1118026.773
100000824,10083778,11514619,Chemin du Coq-d'Inde,10c,1223 Cologny,6617,GE,real,05.05.2026,2503774.438,1118028.352
100000836,10041200,11514632,Chemin des Chênes,27e,1294 Genthod,6622,GE,real,05.05.2026,2500453.208,1124484.566
100000838,10104927,11514637,Chemin des Quarts,25,1287 Laconnex,6627,GE,real,05.05.2026,2492066.272,1112457.962
100000867,10041217,11514680,Chemin des Manons,6b,1218 Le Grand-Saconnex,6623,GE,real,05.05.2026,2499086.614,1121322.895
100000868,10096342,11514685,Route du Grand-Lancy,131,1213 Onex,6631,GE,real,05.05.2026,2497265.52,1115100.881
100000869,10096342,11514686,Route du Grand-Lancy,131a,1213 Onex,6631,GE,real,05.05.2026,2497258.098,1115098.809
100000870,10096342,11514687,Route du Grand-Lancy,131b,1213 Onex,6631,GE,real,05.05.2026,2497254.739,1115097.871
100000871,10096342,11514688,Route du Grand-Lancy,131c,1213 Onex,6631,GE,real,05.05.2026,2497247.466,1115095.842
100000872,10046940,11514689,Rue de Bandol,11,1213 Onex,6631,GE,real,05.05.2026,2497123.37,1115954.656
100000873,10046940,11514690,Rue de Bandol,13,1213 Onex,6631,GE,real,05.05.2026,2497106.259,1115966.412
100000874,10046931,11514691,Chemin Jean-FAIZAN,15,1213 Onex,6631,GE,real,05.05.2026,2496960.007,1115381.553
100000875,10048681,11514694,Chemin du Daru,2,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497576.227,1113390.8
100000876,10048681,11514695,Chemin du Daru,4,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497593.675,1113399.746
100000877,10048681,11514696,Chemin du Daru,6,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497613.542,1113361.047
100000878,10048681,11514697,Chemin du Daru,8,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497596.101,1113352.096
100000879,10048681,11514698,Chemin du Daru,33,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497630.604,1113418.701
100000880,10048681,11514701,Chemin du Daru,39,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497667.888,1113388.936
100000881,10132763,11514702,Avenue du Millénaire,3,1228 Plan-les-Ouates,6633,GE,real,05.05.2026,2497849.374,1114084.744
100000882,10132763,11514703,Avenue du Millénaire,5,1228 Plan-les-Ouates,6633,GE,real,05.05.2026,2497833.541,1114104.394
100000883,10132763,11514704,Avenue du Millénaire,7,1228 Plan-les-Ouates,6633,GE,real,05.05.2026,2497830.862,1114105.675
100000884,10132763,11514705,Avenue du Millénaire,9,1228 Plan-les-Ouates,6633,GE,real,05.05.2026,2497814.866,1114125.601
100000885,10132763,11514706,Avenue du Millénaire,11,1228 Plan-les-Ouates,6633,GE,real,05.05.2026,2497812.357,1114126.708
100000886,10046533,11514707,Chemin de Machéry,48bis,1292 Chambésy,6634,GE,real,05.05.2026,2499128.711,1122124.732
100001037,10059516,11526863,Avenue PETIT-SENN,42a,1225 Chêne-Bourg,6613,GE,real,05.05.2026,2503966.783,1116365.459
100001038,10051179,11526865,Chemin du Curé-DESCLOUDS,53,1226 Thônex,6640,GE,real,05.05.2026,2504237.536,1115839.968
100001039,10041505,11526868,Route de Lullier,62bis,1254 Jussy,6626,GE,real,15.11.2024,2509014.431,1120494.245
100001040,10051193,11526869,Chemin de Roday,50,1256 Troinex,6641,GE,real,05.05.2026,2499879.571,1113038.031
100001556,10096029,11526495,Chemin du Gué,65a,1213 Petit-Lancy,6628,GE,real,05.05.2026,2498002.802,1115875.722
100001557,10101271,11526497,Avenue de l'Ermitage,5c,1224 Chêne-Bougeries,6612,GE,real,05.05.2026,2502937.118,1117003.789
100001558,10059516,11526498,Avenue PETIT-SENN,42b,1225 Chêne-Bourg,6613,GE,real,05.05.2026,2503954.784,1116350.736
100001559,10051179,11526499,Chemin du Curé-DESCLOUDS,25,1226 Thônex,6640,GE,real,05.05.2026,2504355.92,1115752.384
100001560,10051179,11526500,Chemin du Curé-DESCLOUDS,51,1226 Thônex,6640,GE,real,05.05.2026,2504249.028,1115834.317
100001561,10082676,11526502,Route de Lully,119,1233 Bernex,6607,GE,real,05.05.2026,2494519.551,1113318.316
100001562,10132764,11526503,Chemin du Pré-des-Cardons,5,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504528.853,1118227.457
100001679,10183395,11514709,Avenue de Tournay,47,1292 Chambésy,6634,GE,real,05.05.2026,2499210.916,1122013.484
100001680,10096026,11514714,Chemin des Fraisiers,4,1212 Grand-Lancy,6628,GE,real,15.11.2024,2497699.295,1114708.145
100001681,10096026,11514718,Chemin des Fraisiers,4d,1212 Grand-Lancy,6628,GE,real,15.11.2024,2497722.806,1114678.262
100001682,10061249,11514721,Route d'Annecy,81,1256 Troinex,6641,GE,real,05.05.2026,2499758.537,1113708.85
100001683,10106549,11514723,Chemin des Corbillettes,27bis,1216 Cointrin,6643,GE,real,05.05.2026,2497642.388,1120116.946
100001695,10051179,11527195,Chemin du Curé-DESCLOUDS,27,1226 Thônex,6640,GE,real,05.05.2026,2504352.692,1115764.655
100001724,10051179,11527261,Chemin du Curé-DESCLOUDS,29,1226 Thônex,6640,GE,real,05.05.2026,2504350.304,1115773.732
100001745,10103107,11527306,Chemin des Rasses,32a,1255 Veyrier,6645,GE,real,15.11.2024,2502388.057,1113509.488
100001764,10096026,11527365,Chemin des Fraisiers,4b,1212 Grand-Lancy,6628,GE,real,15.11.2024,2497711.983,1114692.27
100001765,10051179,11527366,Chemin du Curé-DESCLOUDS,55,1226 Thônex,6640,GE,real,05.05.2026,2504226.618,1115846.327
100001813,10183682,11514725,Chemin des Sellières,59,1219 Aïre,6643,GE,real,05.05.2026,2496373.11,1116820.908
100001814,10175648,11514726,Route de Sauverny,47,1290 Versoix,6644,GE,real,05.05.2026,2501470.07,1126938.838
100001815,10107515,11514731,Chemin de Lulasse,31,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504849.172,1118831.883
100001816,10132764,11514732,Chemin du Pré-des-Cardons,1,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504541.694,1118242.69
100001817,10132764,11514734,Chemin du Pré-des-Cardons,7,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504526.397,1118224.406
100001825,10132764,11514751,Chemin du Pré-des-Cardons,11,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504514.253,1118206.414
100001826,10132764,11514753,Chemin du Pré-des-Cardons,15,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504504.325,1118185.204
100001827,10132764,11514754,Chemin du Pré-des-Cardons,17,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504497.605,1118166.827
100001828,10132764,11514756,Chemin du Pré-des-Cardons,21,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504490.262,1118145.52
100001829,10132764,11514757,Chemin du Pré-des-Cardons,23,1253 Vandoeuvres,6642,GE,real,05.05.2026,2504489.088,1118142.13
100001838,10182353,11514767,Chemin des Bois,20,1255 Veyrier,6645,GE,real,05.05.2026,2502297.172,1113893.185
100001839,10103104,11514768,Chemin de la Salésienne,7,1255 Veyrier,6645,GE,real,05.05.2026,2502598.967,1113970.355
100001840,10061267,11514770,Chemin des Bûcherons,95,1234 Vessy,6645,GE,real,05.05.2026,2502057.473,1113891.625
100001841,10108346,11514771,Chemin de Chantecoucou,9,1255 Veyrier,6645,GE,real,05.05.2026,2502895.92,1114272.301
100001844,10082673,11514779,Chemin du Creux,5,1233 Bernex,6607,GE,real,05.05.2026,2494883.176,1115009.452
100001845,10049141,11514780,Chemin de Carabot,29,1233 Bernex,6607,GE,real,05.05.2026,2495636.377,1115381.482
100001846,10049141,11514781,Chemin de Carabot,31,1233 Bernex,6607,GE,real,05.05.2026,2495611.635,1115464.866
100001847,10097081,11514782,Route de Soral,87,1233 Bernex,6607,GE,real,10.09.2025,2494972.002,1113813.118
100001848,10068620,11514783,Vi-des-Glas,5,1233 Bernex,6607,GE,real,05.05.2026,2494685.671,1113428.95
100001849,10068620,11514784,Vi-des-Glas,7,1233 Bernex,6607,GE,real,05.05.2026,2494677.957,1113423.766
100001850,10082676,11514786,Route de Lully,121,1233 Bernex,6607,GE,real,05.05.2026,2494534.557,1113273.759
100001851,10047964,11514787,Avenue Léonard-SISMONDI,10bis,1224 Chêne-Bougeries,6612,GE,real,05.05.2026,2503918.932,1117584.423
100002038,10059516,11529080,Avenue PETIT-SENN,42,1225 Chêne-Bourg,6613,GE,real,05.05.2026,2503978.264,1116379.546
100002325,10048816,2033846,Chemin de Treulaz,15a,1288 Aire-la-Ville,6601,GE,real,05.05.2026,2492243.753,1115745.966
100002326,10101342,2039878,Avenue de la Forêt,3,1202 Genève,6621,GE,real,05.05.2026,2498905.107,1118986.302
100002327,10059819,2040495,Ruelle du Bossattier,6,1287 Laconnex,6627,GE,real,05.05.2026,2491597.181,1112525.625
100002328,10048681,2041765,Chemin du Daru,35,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497648.027,1113427.645
100002329,10054168,2044149,Chemin de Sierne,9,1255 Veyrier,6645,GE,real,05.05.2026,2502923.771,1114679.176
100002992,10047784,11524875,Route de Thonon,119b,1222 Vésenaz,6616,GE,real,05.05.2026,2505090.028,1122399.605
100003818,10121284,11521309,Chemin BYRON,30.1,1223 Cologny,6617,GE,real,16.10.2025,2503062.405,1119364.858
100003828,10191827,11522868,Rue de Saint-Jean,30,1203 Genève,6621,GE,real,05.05.2026,2498883.918,1117862.321
100003829,10101436,11522953,Rue Adrien-LACHENAL,17,1207 Genève,6621,GE,real,15.11.2024,2501056.137,1117247.325
100003830,10048681,11523141,Chemin du Daru,37,1228 Plan-les-Ouates,6633,GE,real,10.09.2025,2497650.464,1113379.992
100003831,10051179,11523144,Chemin du Curé-DESCLOUDS,23,1226 Thônex,6640,GE,real,05.05.2026,2504360.507,1115738.49
100003847,10102409,11523386,Rue ROTHSCHILD,42,1202 Genève,6621,GE,real,15.11.2024,2500427.5,1119027.855
100003848,10183387,11523390,Chemin des Tulipiers,13,1208 Genève,6621,GE,real,05.05.2026,2502279.252,1117426.342
100354920,10041191,295131926,Chemin de l'Impératrice,1.6,1292 Chambésy,6621,GE,real,23.07.2024,2500319.506,1120328.051
