ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000499,10090501,11515539,Zigerribiweg,29,8753 Mollis,1630,GL,real,True,23.07.2024,2724077,1216920
100000796,10016604,11514489,Mühlegasse,2a,8867 Niederurnen,1630,GL,real,True,23.07.2024,2722258,1220649
100000802,10064410,11514495,Grüt,38,8752 Näfels,1630,GL,real,True,23.07.2024,2723225,1216732
100000803,10238453,11514496,Bachdörfli,5,8752 Näfels,1630,GL,real,True,23.07.2024,2723569,1217670
100000804,10021210,11514497,Obererlen,22e,8752 Näfels,1630,GL,real,True,23.07.2024,2723504,1217199
100001995,10180594,11528757,Holenstein,19,8750 Glarus,1632,GL,real,True,23.07.2024,2724539,1210186
100002341,10180462,2388389,Gufelstockstrasse,8,8765 Engi,1631,GL,real,True,23.07.2024,2730228,1205585
100002342,10088894,2392490,Pfändlergut,21,8772 Nidfurn,1631,GL,real,True,23.07.2024,2723020,1205375
100128674,10019217,293340,Zollhausstrasse,2,8750 Glarus,1632,GL,real,True,23.07.2024,2723589,1211288
100128675,10019217,293341,Zollhausstrasse,6,8750 Glarus,1632,GL,real,True,23.07.2024,2723575,1211315
100128676,10021227,297757,Grünhag,32,8754 Netstal,1632,GL,real,True,23.07.2024,2722325,1213132
100128681,10064423,297747,Rütigasse,13,8754 Netstal,1632,GL,real,True,23.07.2024,2722201,1212797
100128682,10064423,297748,Rütigasse,11,8754 Netstal,1632,GL,real,True,23.07.2024,2722204,1212803
100128683,10064423,297750,Rütigasse,7,8754 Netstal,1632,GL,real,True,23.07.2024,2722209,1212816
100128684,10064423,297751,Rütigasse,5,8754 Netstal,1632,GL,real,True,23.07.2024,2722265,1212945
100128685,10021227,297753,Grünhag,38,8754 Netstal,1632,GL,real,True,23.07.2024,2722289,1213067
100128686,10021227,297754,Grünhag,36,8754 Netstal,1632,GL,real,True,23.07.2024,2722287,1213075
100128687,10021227,297758,Grünhag,30a,8754 Netstal,1632,GL,real,True,23.07.2024,2722345,1213193
100128688,10021227,297759,Grünhag,30,8754 Netstal,1632,GL,real,True,23.07.2024,2722350,1213201
100128689,10021227,297760,Grünhag,31,8754 Netstal,1632,GL,real,True,23.07.2024,2722402,1213196
100128690,10021227,297762,Grünhag,35,8754 Netstal,1632,GL,real,True,23.07.2024,2722380,1213158
100128691,10088888,297763,Haselholz,7,8754 Netstal,1632,GL,real,True,23.07.2024,2722416,1213171
100128692,10016573,297764,Risi,29,8754 Netstal,1632,GL,real,True,23.07.2024,2722384,1213080
