ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000499,10090501,11515539,Zigerribiweg,29,8753 Mollis,1630,GL,real,15.11.2024,2724076.868,1216919.907
100000796,10016604,11514489,Mühlegasse,2a,8867 Niederurnen,1630,GL,real,15.11.2024,2722258.077,1220649.256
100000802,10064410,11514495,Grüt,38,8752 Näfels,1630,GL,real,15.11.2024,2723224.545,1216732.011
100000803,10238453,11514496,Bachdörfli,5,8752 Näfels,1630,GL,real,15.11.2024,2723568.947,1217670.359
100000804,10021210,11514497,Obererlen,22e,8752 Näfels,1630,GL,real,15.11.2024,2723503.839,1217198.731
100001995,10180594,11528757,Holenstein,19,8750 Glarus,1632,GL,real,15.11.2024,2724538.853,1210186.397
100002341,10180462,2388389,Gufelstockstrasse,8,8765 Engi,1631,GL,real,15.11.2024,2730228.16,1205585.468
100002342,10088894,2392490,Pfändlergut,21,8772 Nidfurn,1631,GL,real,15.11.2024,2723020.173,1205374.816
100128674,10019217,293340,Zollhausstrasse,2,8750 Glarus,1632,GL,real,15.11.2024,2723589.188,1211288.225
100128675,10019217,293341,Zollhausstrasse,6,8750 Glarus,1632,GL,real,15.11.2024,2723575.447,1211315.084
100128676,10021227,297757,Grünhag,32,8754 Netstal,1632,GL,real,15.11.2024,2722324.56,1213132.416
100128681,10064423,297747,Rütigasse,13,8754 Netstal,1632,GL,real,15.11.2024,2722201.326,1212796.743
100128682,10064423,297748,Rütigasse,11,8754 Netstal,1632,GL,real,15.11.2024,2722203.739,1212802.633
100128683,10064423,297750,Rütigasse,7,8754 Netstal,1632,GL,real,15.11.2024,2722209.331,1212816.213
100128684,10064423,297751,Rütigasse,5,8754 Netstal,1632,GL,real,15.11.2024,2722264.754,1212944.76
100128685,10021227,297753,Grünhag,38,8754 Netstal,1632,GL,real,15.11.2024,2722288.92,1213067.101
100128686,10021227,297754,Grünhag,36,8754 Netstal,1632,GL,real,15.11.2024,2722287.096,1213075.171
100128687,10021227,297758,Grünhag,30a,8754 Netstal,1632,GL,real,15.11.2024,2722344.975,1213193.37
100128688,10021227,297759,Grünhag,30,8754 Netstal,1632,GL,real,15.11.2024,2722349.545,1213200.985
100128689,10021227,297760,Grünhag,31,8754 Netstal,1632,GL,real,15.11.2024,2722402.056,1213196.037
100128690,10021227,297762,Grünhag,35,8754 Netstal,1632,GL,real,15.11.2024,2722379.875,1213157.518
100128691,10088888,297763,Haselholz,7,8754 Netstal,1632,GL,real,15.11.2024,2722415.719,1213171.19
100128692,10016573,297764,Risi,29,8754 Netstal,1632,GL,real,15.11.2024,2722383.942,1213079.8
100128693,10016573,297765,Risi,24,8754 Netstal,1632,GL,real,15.11.2024,2722373.994,1213087.278
100128694,10016573,297766,Risi,31,8754 Netstal,1632,GL,real,15.11.2024,2722387.598,1213068.304
100128696,10016573,297770,Risi,23,8754 Netstal,1632,GL,real,15.11.2024,2722413.443,1213110.228
100128697,10016573,297771,Risi,22,8754 Netstal,1632,GL,real,15.11.2024,2722391.411,1213111.138
100128698,10016573,297772,Risi,21,8754 Netstal,1632,GL,real,15.11.2024,2722420.683,1213117.415
100128699,10016573,297773,Risi,18,8754 Netstal,1632,GL,real,15.11.2024,2722412.797,1213143.383
100128700,10016573,297774,Risi,16,8754 Netstal,1632,GL,real,15.11.2024,2722429.503,1213138.677
