ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000008,10108180,11514434,Via Paliu,17,7153 Falera,3572,GR,real,15.11.2024,2737019.662,1184858.233
100000074,10078487,11527509,In den Büelen,57,7260 Davos Dorf,3851,GR,real,15.11.2024,2784572.041,1185761.156
100000121,10039405,11513978,Schnellerweg,12,7231 Pragg-Jenaz,3863,GR,real,15.11.2024,2772062.873,1201909.03
100000457,10250452,11515007,Strada Cantonale,64,6541 Sta. Maria in Calanca,3810,GR,real,15.11.2024,2731612.563,1125050.036
100000466,10072154,11515017,Industriestrasse,10,7402 Bonaduz,3721,GR,real,15.11.2024,2748402.253,1186137.281
100000630,10044163,11513675,Runcs Sura,5,7443 Pignia,3701,GR,real,15.11.2024,2753301.477,1164362.056
100000631,10174663,11513676,Pitgogna Pintga,11,7443 Pignia,3701,GR,real,15.11.2024,2753169.476,1164494.209
100000632,10136425,11513677,Via Fravia,1,7187 Camischolas,3986,GR,real,15.11.2024,2701533.277,1170739.441
100000633,10029696,11513678,Via Gionda,30,7188 Sedrun,3986,GR,real,15.11.2024,2701862.814,1170821.568
100000648,10216326,11513703,Strada de Carasoo,120,6535 Roveredo GR,3834,GR,real,15.11.2024,2730373.142,1122582.963
100000649,10216164,11513705,Caraa di Cavài,66,6535 Roveredo GR,3834,GR,real,15.11.2024,2729625.576,1121750.268
100000654,10026949,11513718,Via da Munt,19a,7013 Domat/Ems,3722,GR,real,15.11.2024,2753593.067,1188671.895
100000789,10078379,11514480,Via dal Corvatsch,71,7513 Silvaplana-Surlej,3790,GR,real,15.11.2024,2782508.561,1147611.375
100000829,10029459,11514624,Via Crappa Grossa,2,7130 Ilanz,3619,GR,real,15.11.2024,2734351.463,1181918.352
100000837,10160867,11514634,Veia Parpi,18,7462 Salouf,3543,GR,real,01.02.2025,2763636.223,1165535.829
100000904,10076773,11527655,Pagrüegerweg,37,7249 Serneus,3871,GR,real,15.11.2024,2782509.356,1197146.677
100001098,10029602,11523815,Plagaur,13,7215 Fanas,3961,GR,real,15.11.2024,2769530.02,1206251.329
100001099,10030128,11523840,Veia Tgaplottas,4d,7460 Savognin,3543,GR,real,15.11.2024,2765551.428,1162980.468
100001100,10101912,11523842,Veia Sur Ual,38a,7460 Savognin,3543,GR,real,15.11.2024,2765789.733,1163024.483
100001108,10078484,11523855,Dischmastrasse,7a,7260 Davos Dorf,3851,GR,real,15.11.2024,2783206.836,1186718.089
100001132,10026990,11524046,Via Sulé,10,7017 Flims Dorf,3732,GR,real,15.11.2024,2741046.852,1188658.186
100001544,10256634,11526283,Strada della Calanca,11,6542 Buseno,3804,GR,real,15.11.2024,2728870.063,1126200.989
100001545,10250410,11526284,Via Premoret,2,6542 Buseno,3804,GR,real,15.11.2024,2728593.618,1126009.549
100001546,10035950,11526285,Caraa de Les,9a,6542 Buseno,3804,GR,real,15.11.2024,2728865.204,1125531.084
100001547,10250406,11526286,Via Giova,19,6542 Buseno,3804,GR,real,15.11.2024,2729277.171,1123770.921
100001548,10035946,11526287,Via Borlion,4,6542 Buseno,3804,GR,real,15.11.2024,2728631.218,1125943.688
