ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000047,10154701,11527438,Place du 23-Juin,4,2807 Pleigne,6719,JU,real,15.11.2024,2588954.762,1250709.954
100000659,10183471,11513730,Champ-de-Val,14,2802 Develier,6712,JU,real,15.11.2024,2588667.8,1244931.58
100000865,10254326,11514675,Route Principale,36f,2856 Boécourt,6702,JU,real,15.11.2024,2582960.101,1244226.852
100000887,10052522,11527601,Es Montes,7,2824 Vicques,6730,JU,real,15.11.2024,2598886.553,1244279.904
100001060,10133037,11526918,Chemin des Fontaines,28,2800 Delémont,6711,JU,real,15.11.2024,2592953.074,1246592.648
100001061,10099608,11526921,Chemin de l'Oiselier,44c,2900 Porrentruy,6800,JU,real,15.11.2024,2572307.879,1251115.587
100001500,10053381,11513801,Rue des Champs-Fleuris,217,2362 Montfaucon,6751,JU,real,15.11.2024,2570555.194,1236397.759
100001698,10050996,11527206,Rue des Vergers,6,2830 Courrendlin,6708,JU,real,15.11.2024,2595258.073,1243117.352
100001772,10099608,11527376,Chemin de l'Oiselier,44b,2900 Porrentruy,6800,JU,real,15.11.2024,2572314.259,1251115.607
100002201,10154699,11514151,Rue du Réservoir,4,2807 Pleigne,6719,JU,real,15.11.2024,2589185.684,1250849.225
100002316,10116959,1377870,Quartier de la Verrerie,23,2740 Moutier,6831,JU,real,02.01.2026,2594192.372,1235324.73
100002344,10054165,2402502,Rue du Réservoir,5,2800 Delémont,6711,JU,real,15.11.2024,2592826.809,1246324.568
100002345,10186765,2403806,Sur les Clos,61g,2864 Soulce,6729,JU,real,11.04.2025,2586898.748,1239312.662
100002346,10113007,2405684,Les Emibois,46c,2338 Les Emibois,6753,JU,real,15.11.2024,2565638.105,1231631.883
100002347,10050289,2409049,Vâloin,16,2915 Bure,6807,JU,real,15.11.2024,2568220.613,1256517.573
100002348,10050007,2410453,Sous la Côte,30a,2933 Damphreux,6811,JU,real,15.11.2024,2574583.465,1258395.606
100002379,10133037,11526557,Chemin des Fontaines,30,2800 Delémont,6711,JU,real,15.11.2024,2592980.227,1246613.608
100002380,10052522,11526558,Es Montes,5,2824 Vicques,6730,JU,real,15.11.2024,2598885.119,1244305.526
100002995,10099580,11524887,Chemin du Crain,202,2902 Fontenais,6790,JU,real,15.11.2024,2572701.524,1250158.658
100003208,10132457,11513648,Champ du Creux,7,2908 Grandfontaine,6792,JU,real,15.11.2024,2561972.844,1249749.3
100003237,10058170,11524985,La Combe,4,2740 Moutier,6831,JU,real,02.01.2026,2593095.429,1239096.801
