ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000009,10013365,11514435,Mooshof,30,6182 Escholzmatt,1010,LU,real,15.11.2024,2637890.563,1196591.841
100000011,10018835,11514439,Gartenstrasse,6,5735 Pfeffikon LU,1097,LU,real,15.11.2024,2655863.205,1233044.071
100000012,10074531,11514440,Hausmattenstrasse,22,5735 Pfeffikon LU,1097,LU,real,15.11.2024,2656068.938,1233112.9
100000013,10074531,11514441,Hausmattenstrasse,22a,5735 Pfeffikon LU,1097,LU,real,15.11.2024,2656015.01,1233109.065
100000103,10084266,11513938,Unter-Allmend,14,6018 Buttisholz,1083,LU,real,15.11.2024,2648823.291,1218606.642
100000104,10012495,11513939,Banschimatt,7,6018 Buttisholz,1083,LU,real,15.11.2024,2649269.061,1218070.662
100000105,10185864,11513940,Gustibergstrasse,7,6018 Buttisholz,1083,LU,real,15.11.2024,2649483.407,1218648.354
100000107,10019506,11513943,Neugassweg,15,6144 Zell LU,1150,LU,real,15.11.2024,2637116.526,1220687.639
100000108,10186701,11513944,Zelgmatte,11a,6144 Zell LU,1150,LU,real,15.11.2024,2637263.36,1220840.331
100000130,10013386,11513989,Mittlerschwand,2,6102 Malters,1062,LU,real,15.11.2024,2653728.98,1207899.961
100000170,10209028,11526716,Unterdorf,21,6156 Luthern,1135,LU,real,15.11.2024,2636282.333,1212408.283
100000171,10186664,11526717,Schlichtiwäldli,18,6203 Sempach Station,1093,LU,real,15.11.2024,2657162.798,1218791.689
100000172,10082242,11526718,Sonneland,14,6206 Neuenkirch,1093,LU,real,15.11.2024,2657609.188,1217000.285
100000173,10241881,11526719,Grundmatt,7,6218 Ettiswil,1128,LU,real,15.11.2024,2643716.232,1222396.073
100000174,10116552,11526720,Hubermatte,17a,6252 Dagmersellen,1125,LU,real,15.11.2024,2641242.991,1229531.67
100000655,10179030,11513723,Hofmattrain,7,6033 Buchrain,1052,LU,real,15.11.2024,2669521.385,1217061.148
100000656,10085670,11513724,Sellackerstrasse,3,6033 Buchrain,1052,LU,real,15.11.2024,2669545.146,1216577.462
100000668,10016763,11513754,Unterer Graben,1a,6210 Sursee,1103,LU,real,15.11.2024,2650960.713,1224699.847
100000810,10074072,11514598,Waldhusstrasse,40,6274 Eschenbach LU,1026,LU,real,15.11.2024,2666149.582,1220467.172
100000820,10006036,11514615,Feldstrasse,32c,6022 Grosswangen,1086,LU,real,15.11.2024,2645932.777,1220029.622
100000821,10084295,11514616,Pintenmatte,50,6022 Grosswangen,1086,LU,real,15.11.2024,2646114.143,1220223.322
100000822,10084295,11514617,Pintenmatte,52,6022 Grosswangen,1086,LU,real,15.11.2024,2646119.947,1220221.497
100000830,10071152,11514626,Zöpflistrasse,3,6034 Inwil,1033,LU,real,15.11.2024,2669131.515,1219568.005
100000831,10071152,11514627,Zöpflistrasse,9,6034 Inwil,1033,LU,real,15.11.2024,2669113.071,1219562.099
100000832,10071152,11514628,Zöpflistrasse,11,6034 Inwil,1033,LU,real,15.11.2024,2669118.081,1219557.321
100000833,10117062,11514629,Utigenstrasse,2,6034 Inwil,1033,LU,real,15.11.2024,2669022.665,1219969.74
100000903,10012839,11527650,Hausgasse,13,6234 Kulmerau,1104,LU,real,15.11.2024,2649185.494,1234057.411
100001252,10131681,11524631,Glattbergstrasse,11,6353 Weggis,1069,LU,real,15.11.2024,2677096.937,1209121.423
100001496,10107461,11513796,Hiltenweid,29,6110 Wolhusen,1107,LU,real,15.11.2024,2648393.006,1213257.691
100001497,10107461,11513797,Hiltenweid,31,6110 Wolhusen,1107,LU,real,15.11.2024,2648392.069,1213258.632
100001498,10107461,11513798,Hiltenweid,8,6110 Wolhusen,1107,LU,real,01.03.2025,2648457.809,1213212.931
100001502,10129415,11513804,Spissenrain,1,6045 Meggen,1063,LU,real,15.11.2024,2671556.953,1212089.19
100001503,10129415,11513805,Spissenrain,3,6045 Meggen,1063,LU,real,15.11.2024,2671535.931,1212086.399
100001504,10052341,11513807,Stampfiweg,33,6045 Meggen,1063,LU,real,15.11.2024,2670689.324,1210520.517
