ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000046,10050052,11527437,Chemin des Ecrieux,9,2523 Lignières,6456,NE,real,15.11.2024,2570512.551,1214633.992
100000122,10191303,11513979,Route de l'Areuse,14a,2016 Cortaillod,6408,NE,real,15.11.2024,2555524.111,1200111.602
100000490,10130703,11515051,Rue du Puits,4,2014 Bôle,6416,NE,real,15.11.2024,2554654.829,1202179.47
100000491,10130703,11515052,Rue du Puits,8,2014 Bôle,6416,NE,real,15.11.2024,2554674.318,1202180.069
100000492,10130703,11515053,Rue du Puits,6,2014 Bôle,6416,NE,real,15.11.2024,2554669.309,1202180.319
100000665,10050079,11513748,Rue Paul-Vouga,147,2074 Marin-Epagnier,6513,NE,real,02.01.2025,2567665.51,1206465.763
100000666,10050079,11513749,Rue Paul-Vouga,151,2074 Marin-Epagnier,6513,NE,real,02.01.2025,2567675.724,1206464.523
100000811,10098354,11514599,Chemin des Ecureuils,10,2054 Chézard-St-Martin,6487,NE,real,15.11.2024,2560587.087,1212990.354
100000812,10115934,11514600,Champs-Robert,12,2054 Chézard-St-Martin,6487,NE,real,15.11.2024,2560929.21,1212674.252
100000813,10098358,11514602,Rue du Forvy,10,2054 Chézard-St-Martin,6487,NE,real,15.11.2024,2560577.933,1212955.935
100000814,10039583,11514603,Route de la Pistoule,72,2036 Cormondrèche,6458,NE,real,15.11.2024,2556165.034,1203269.433
100001055,10099321,11526905,Rue En Galilée,13,2022 Bevaix,6417,NE,real,15.11.2024,2551946.765,1197584.655
100001056,10050079,11526907,Rue Paul-Vouga,153,2074 Marin-Epagnier,6513,NE,real,02.01.2025,2567680.58,1206464.593
100001057,10098362,11526908,Rue de Dessous,3,2207 Coffrane,6487,NE,real,15.11.2024,2556271.961,1206700.438
100001119,10049870,11523931,Les Planches,4,2054 Les Vieux-Prés,6487,NE,real,15.11.2024,2562673.394,1214704.101
100001258,10118044,11524688,Rue des Courtils,1a,2016 Cortaillod,6408,NE,real,15.11.2024,2554871.662,1199237.544
100001280,10073916,11524797,Route du Mont-Racine,9a,2206 Les Geneveys-sur-Coffrane,6487,NE,real,15.11.2024,2555263.964,1207557.456
100001580,10098358,11526543,Rue du Forvy,6,2054 Chézard-St-Martin,6487,NE,real,15.11.2024,2560559.312,1212936.431
100001581,10050079,11526544,Rue Paul-Vouga,149,2074 Marin-Epagnier,6513,NE,real,02.01.2025,2567670.66,1206465.773
100001582,10050079,11526545,Rue Paul-Vouga,155,2074 Marin-Epagnier,6513,NE,real,02.01.2025,2567685.64,1206464.597
100001732,10044271,11527283,Rue des Electrices,33,2300 La Chaux-de-Fonds,6421,NE,real,15.11.2024,2553155.238,1217525.671
100001770,10040068,11527374,Les Foyards,44,2300 La Chaux-de-Fonds,6421,NE,real,15.11.2024,2553671.282,1215722.719
100001871,10132766,11514825,Chemin des Tertres,20,2019 Chambrelien,6413,NE,real,15.11.2024,2552253.777,1202575.42
100002025,10019988,11529001,L'Erable,11,2019 Rochefort,6413,NE,real,15.11.2024,2552179.828,1203714.521
100002185,10099321,11514131,Rue En Galilée,11,2022 Bevaix,6417,NE,real,15.11.2024,2551952.318,1197593.693
100002202,10048374,11514152,Champs-du-Noyer,7,2115 Buttes,6512,NE,real,15.11.2024,2532917.5,1193762.54
100003809,10099377,11519755,Avenue Belvédère,18,2025 Chez-le-Bart,6417,NE,real,15.11.2024,2551270.023,1196235.559
100007794,10049670,11516604,Chemin des Vignes,18,2074 Marin-Epagnier,6513,NE,real,02.01.2025,2567780.173,1206458.974
100132561,10059754,190038736,Route de la Gare,68,2017 Boudry,6404,NE,real,15.11.2024,2554234.941,1201178.546
100139712,10049844,191240033,Rue du Bois Noir,14,2053 Cernier,6487,NE,real,15.11.2024,2558983.088,1212272.267
100142067,10047800,190050574,Chemin des Perreuses,2a,2013 Colombier NE,6416,NE,real,15.11.2024,2555835.431,1202340.706
100142069,10098075,190050594,Rue des Vernes,12b,2013 Colombier NE,6416,NE,real,15.11.2024,2555828.035,1202068.22
100142094,10040064,190050733,La Recorne,55,2300 La Chaux-de-Fonds,6421,NE,real,15.11.2024,2552224.987,1217029.475
100150599,10044055,191240190,Chemin des Jardils,6,2087 Cornaux NE,6451,NE,real,15.11.2024,2568027.06,1210048.58
100164908,10079501,190050758,Château des Amours,31,2314 La Sagne NE,6423,NE,real,15.11.2024,2551640.786,1210312.271
100256237,10047749,191267070,Chemin des Essorbiers,4,2022 Bevaix,6417,NE,real,15.11.2024,2551901.635,1197716.322
100267729,10153560,191267530,Quartier de Bise,108,2127 Les Bayards,6512,NE,real,15.11.2024,2529933.657,1196624.435
100268768,10078112,191267491,Champ-de-la-Fontaine,33,2416 Les Brenets,6436,NE,real,19.11.2024,2543652.256,1212955.595
100270871,10235125,190050112,Rue du Temple,40,2024 St-Aubin-Sauges,6417,NE,real,15.11.2024,2549253.662,1193912.467
