ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000073,10020032,11527508,Spichermatt,4,6365 Kehrsiten,1510,NW,real,True,27.04.2024,2670690,1205991
100000168,10104880,11526712,Büelstrasse,26,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2665872,1204151
100000169,10089118,11526713,Riedmattweg,13,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666095,1204483
100000176,10070376,11526723,Kohlgraben,3,6370 Stans,1509,NW,real,True,12.04.2024,2670311,1201932
100000634,10084633,11513684,Guggerhofstrasse,2,6374 Buochs,1502,NW,real,True,12.04.2024,2674411,1202837
100002206,10084633,11514158,Guggerhofstrasse,4,6374 Buochs,1502,NW,real,True,12.04.2024,2674411,1202835
100002207,10131678,11514159,Baumgarten,8,6374 Buochs,1502,NW,real,True,12.04.2024,2674953,1202985
100002208,10131678,11514160,Baumgarten,4,6374 Buochs,1502,NW,real,True,12.04.2024,2675005,1202994
100002209,10131678,11514165,Baumgarten,6,6374 Buochs,1502,NW,real,True,12.04.2024,2674979,1202990
100002694,10109106,11514926,Lehmatt,5,6375 Beckenried,1501,NW,real,True,12.04.2024,2677903,1202682
100002695,10021117,11514927,Röhrli,25,6375 Beckenried,1501,NW,real,True,12.04.2024,2678799,1202033
100002723,10089118,11527705,Riedmattweg,5,6052 Hergiswil NW,1507,NW,real,True,12.04.2024,2666113,1204524
100003240,10090407,11524995,Pfauengasse,1,6370 Stans,1509,NW,real,True,12.04.2024,2670762,1201040
100004081,10090424,11525738,Diethelmstrasse,28,6363 Fürigen,1510,NW,real,True,12.04.2024,2669475,1203625
100004082,10183582,11525740,Mattli,8,6365 Kehrsiten,1510,NW,real,True,27.04.2024,2670494,1205724
100004408,10084633,11528666,Guggerhofstrasse,10,6374 Buochs,1502,NW,real,True,12.04.2024,2674415,1202815
100128605,10070369,284709,Acherweg,26,6370 Stans,1509,NW,real,True,12.04.2024,2670567,1201746
100128606,10070369,284710,Acherweg,28,6370 Stans,1509,NW,real,True,12.04.2024,2670566,1201745
100128607,10070369,284711,Acherweg,30,6370 Stans,1509,NW,real,True,12.04.2024,2670561,1201732
100128608,10070369,284717,Acherweg,72,6370 Stans,1509,NW,real,True,12.04.2024,2670447,1201800
100128609,10070369,284718,Acherweg,76,6370 Stans,1509,NW,real,True,12.04.2024,2670453,1201809
100128610,10070369,284719,Acherweg,88,6370 Stans,1509,NW,real,True,12.04.2024,2670440,1201831
100128611,10070369,284720,Acherweg,96,6370 Stans,1509,NW,real,True,12.04.2024,2670430,1201811
100128612,10070369,284721,Acherweg,9,6370 Stans,1509,NW,real,True,12.04.2024,2670513,1201717
100128613,10070369,284722,Acherweg,46,6370 Stans,1509,NW,real,True,12.04.2024,2670527,1201767
100128614,10018625,285401,Bahnhofstrasse,11,6362 Stansstad,1510,NW,real,True,12.04.2024,2668394,1203401
100128616,10018625,285403,Bahnhofstrasse,21,6362 Stansstad,1510,NW,real,True,12.04.2024,2668339,1203203
100128617,10018625,285404,Bahnhofstrasse,19,6362 Stansstad,1510,NW,real,True,12.04.2024,2668372,1203235
100128618,10018625,285406,Bahnhofstrasse,14,6362 Stansstad,1510,NW,real,True,12.04.2024,2668310,1203318
100128619,10183578,285409,Riedstrasse,5,6362 Stansstad,1510,NW,real,True,12.04.2024,2668419,1203211
100128620,10183578,285410,Riedstrasse,6,6362 Stansstad,1510,NW,real,True,12.04.2024,2668397,1203116
100128621,10183578,285411,Riedstrasse,7,6362 Stansstad,1510,NW,real,True,12.04.2024,2668425,1203174
100128622,10183578,285412,Riedstrasse,8,6362 Stansstad,1510,NW,real,True,12.04.2024,2668409,1203086
100128623,10183578,285414,Riedstrasse,11,6362 Stansstad,1510,NW,real,True,12.04.2024,2668445,1203139
100128624,10183578,285415,Riedstrasse,13,6362 Stansstad,1510,NW,real,True,12.04.2024,2668432,1203128
100128626,10183578,285417,Riedstrasse,17,6362 Stansstad,1510,NW,real,True,12.04.2024,2668435,1203077
100128627,10183578,285419,Riedstrasse,21,6362 Stansstad,1510,NW,real,True,12.04.2024,2668468,1203066
100128628,10018628,285424,Dorfplatz,3,6362 Stansstad,1510,NW,real,True,12.04.2024,2668316,1203651
100128629,10090413,285425,Achereggstrasse,1,6362 Stansstad,1510,NW,real,True,12.04.2024,2668343,1203511
100128630,10090413,285426,Achereggstrasse,2,6362 Stansstad,1510,NW,real,True,12.04.2024,2668330,1203552
100128631,10090413,285427,Achereggstrasse,5,6362 Stansstad,1510,NW,real,True,12.04.2024,2668285,1203496
100128632,10090413,285428,Achereggstrasse,5a,6362 Stansstad,1510,NW,real,True,12.04.2024,2668294,1203481
100128633,10090413,285429,Achereggstrasse,7,6362 Stansstad,1510,NW,real,True,12.04.2024,2668265,1203461
100128634,10090413,285431,Achereggstrasse,8,6362 Stansstad,1510,NW,real,True,12.04.2024,2668199,1203485
100128635,10018625,285438,Bahnhofstrasse,10,6362 Stansstad,1510,NW,real,True,12.04.2024,2668372,1203319
100128636,10018624,285441,Acheregg,3,6362 Stansstad,1510,NW,real,True,27.04.2024,2667895,1203281
100128637,10018624,285442,Acheregg,5,6362 Stansstad,1510,NW,real,True,27.04.2024,2667897,1203257
100128638,10018922,285444,Stanserstrasse,3,6362 Stansstad,1510,NW,real,True,12.04.2024,2668281,1203398
100128639,10018922,285445,Stanserstrasse,5,6362 Stansstad,1510,NW,real,True,12.04.2024,2668296,1203399
100128640,10018914,285447,Kilchliried,2,6362 Stansstad,1510,NW,real,True,12.04.2024,2668644,1203480
100128641,10018914,285448,Kilchliried,3,6362 Stansstad,1510,NW,real,True,12.04.2024,2668641,1203519
100128642,10018914,285449,Kilchliried,4,6362 Stansstad,1510,NW,real,True,12.04.2024,2668658,1203496
100128644,10018914,285452,Kilchliried,10,6362 Stansstad,1510,NW,real,True,12.04.2024,2668713,1203534
100128648,10090417,285461,Kirchmatte,21,6362 Stansstad,1510,NW,real,True,12.04.2024,2668628,1203451
100128649,10090417,285462,Kirchmatte,25,6362 Stansstad,1510,NW,real,True,12.04.2024,2668650,1203446
100128650,10090417,285464,Kirchmatte,23,6362 Stansstad,1510,NW,real,True,12.04.2024,2668639,1203426
100128651,10018913,285469,Kehrsitenstrasse,14,6362 Stansstad,1510,NW,real,True,12.04.2024,2668635,1203629
