ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000073,10020032,11527508,Spichermatt,4,6365 Kehrsiten,1510,NW,real,15.11.2024,2670689.731,1205990.923
100000168,10104880,11526712,Büelstrasse,26,6052 Hergiswil NW,1507,NW,real,15.11.2024,2665871.688,1204150.636
100000169,10089118,11526713,Riedmattweg,13,6052 Hergiswil NW,1507,NW,real,15.11.2024,2666095.177,1204482.517
100000176,10070376,11526723,Kohlgraben,3,6370 Stans,1509,NW,real,15.11.2024,2670311.367,1201931.83
100000634,10084633,11513684,Guggerhofstrasse,2,6374 Buochs,1502,NW,real,15.11.2024,2674410.608,1202836.801
100002206,10084633,11514158,Guggerhofstrasse,4,6374 Buochs,1502,NW,real,15.11.2024,2674410.874,1202835.088
100002207,10131678,11514159,Baumgarten,8,6374 Buochs,1502,NW,real,15.11.2024,2674952.576,1202985.279
100002208,10131678,11514160,Baumgarten,4,6374 Buochs,1502,NW,real,15.11.2024,2675004.981,1202994.454
100002209,10131678,11514165,Baumgarten,6,6374 Buochs,1502,NW,real,15.11.2024,2674979.022,1202989.676
100002694,10109106,11514926,Lehmatt,5,6375 Beckenried,1501,NW,real,15.11.2024,2677902.949,1202681.991
100002695,10021117,11514927,Röhrli,25,6375 Beckenried,1501,NW,real,15.11.2024,2678799.274,1202033.094
100002723,10089118,11527705,Riedmattweg,5,6052 Hergiswil NW,1507,NW,real,15.11.2024,2666112.87,1204523.682
100003240,10090407,11524995,Pfauengasse,1,6370 Stans,1509,NW,real,15.11.2024,2670761.912,1201040.206
100004081,10090424,11525738,Diethelmstrasse,28,6363 Fürigen,1510,NW,real,15.11.2024,2669474.603,1203624.557
100004082,10183582,11525740,Mattli,8,6365 Kehrsiten,1510,NW,real,15.11.2024,2670494.049,1205724.046
100004408,10084633,11528666,Guggerhofstrasse,10,6374 Buochs,1502,NW,real,15.11.2024,2674414.679,1202814.959
100128605,10070369,284709,Acherweg,26,6370 Stans,1509,NW,real,15.11.2024,2670567.027,1201746.341
100128606,10070369,284710,Acherweg,28,6370 Stans,1509,NW,real,15.11.2024,2670565.799,1201744.621
100128607,10070369,284711,Acherweg,30,6370 Stans,1509,NW,real,15.11.2024,2670560.938,1201731.781
100128608,10070369,284717,Acherweg,72,6370 Stans,1509,NW,real,13.07.2025,2670444.573,1201801.424
100128609,10070369,284718,Acherweg,76,6370 Stans,1509,NW,real,15.11.2024,2670453.478,1201808.501
100128610,10070369,284719,Acherweg,88,6370 Stans,1509,NW,real,15.11.2024,2670439.56,1201830.5
100128611,10070369,284720,Acherweg,96,6370 Stans,1509,NW,real,15.11.2024,2670429.593,1201810.624
100128612,10070369,284721,Acherweg,9,6370 Stans,1509,NW,real,15.11.2024,2670513.397,1201717.126
100128613,10070369,284722,Acherweg,46,6370 Stans,1509,NW,real,15.11.2024,2670527.234,1201766.729
100128614,10018625,285401,Bahnhofstrasse,11,6362 Stansstad,1510,NW,real,15.11.2024,2668393.899,1203400.906
100128616,10018625,285403,Bahnhofstrasse,21,6362 Stansstad,1510,NW,real,15.11.2024,2668338.991,1203202.852
100128617,10018625,285404,Bahnhofstrasse,19,6362 Stansstad,1510,NW,real,15.11.2024,2668371.897,1203234.771
100128618,10018625,285406,Bahnhofstrasse,14,6362 Stansstad,1510,NW,real,15.11.2024,2668310.036,1203318.001
100128619,10183578,285409,Riedstrasse,5,6362 Stansstad,1510,NW,real,15.11.2024,2668418.622,1203210.877
100128620,10183578,285410,Riedstrasse,6,6362 Stansstad,1510,NW,real,15.11.2024,2668396.887,1203116.105
100128621,10183578,285411,Riedstrasse,7,6362 Stansstad,1510,NW,real,15.11.2024,2668424.721,1203173.609
100128622,10183578,285412,Riedstrasse,8,6362 Stansstad,1510,NW,real,15.11.2024,2668408.54,1203086.367
100128623,10183578,285414,Riedstrasse,11,6362 Stansstad,1510,NW,real,15.11.2024,2668444.97,1203139.125
100128624,10183578,285415,Riedstrasse,13,6362 Stansstad,1510,NW,real,15.11.2024,2668431.665,1203128.117
100128626,10183578,285417,Riedstrasse,17,6362 Stansstad,1510,NW,real,15.11.2024,2668434.634,1203077.144
100128627,10183578,285419,Riedstrasse,21,6362 Stansstad,1510,NW,real,15.11.2024,2668467.685,1203066.356
100128628,10018628,285424,Dorfplatz,3,6362 Stansstad,1510,NW,real,15.11.2024,2668316.491,1203651.242
100128629,10090413,285425,Achereggstrasse,1,6362 Stansstad,1510,NW,real,15.11.2024,2668342.79,1203511.282
100128630,10090413,285426,Achereggstrasse,2,6362 Stansstad,1510,NW,real,15.11.2024,2668330.47,1203551.976
100128631,10090413,285427,Achereggstrasse,5,6362 Stansstad,1510,NW,real,15.11.2024,2668285.474,1203495.707
100128632,10090413,285428,Achereggstrasse,5a,6362 Stansstad,1510,NW,real,15.11.2024,2668293.693,1203480.952
100128633,10090413,285429,Achereggstrasse,7,6362 Stansstad,1510,NW,real,15.11.2024,2668264.699,1203460.6
100128634,10090413,285431,Achereggstrasse,8,6362 Stansstad,1510,NW,real,15.11.2024,2668199.228,1203484.755
100128635,10018625,285438,Bahnhofstrasse,10,6362 Stansstad,1510,NW,real,15.11.2024,2668371.678,1203318.92
100128636,10018624,285441,Acheregg,3,6362 Stansstad,1510,NW,real,15.11.2024,2667894.532,1203280.859
100128637,10018624,285442,Acheregg,5,6362 Stansstad,1510,NW,real,15.11.2024,2667896.644,1203257.365
100128638,10018922,285444,Stanserstrasse,3,6362 Stansstad,1510,NW,real,15.11.2024,2668281.335,1203397.787
100128639,10018922,285445,Stanserstrasse,5,6362 Stansstad,1510,NW,real,15.11.2024,2668295.862,1203398.915
100128640,10018914,285447,Kilchliried,2,6362 Stansstad,1510,NW,real,15.11.2024,2668643.934,1203480.154
100128641,10018914,285448,Kilchliried,3,6362 Stansstad,1510,NW,real,15.11.2024,2668641.067,1203518.666
100128642,10018914,285449,Kilchliried,4,6362 Stansstad,1510,NW,real,15.11.2024,2668657.547,1203496.365
100128644,10018914,285452,Kilchliried,10,6362 Stansstad,1510,NW,real,15.11.2024,2668713.432,1203533.712
100128648,10090417,285461,Kirchmatte,21,6362 Stansstad,1510,NW,real,15.11.2024,2668628.355,1203451.008
100128649,10090417,285462,Kirchmatte,25,6362 Stansstad,1510,NW,real,15.11.2024,2668650.113,1203446.121
100128650,10090417,285464,Kirchmatte,23,6362 Stansstad,1510,NW,real,15.11.2024,2668638.957,1203425.879
100128651,10018913,285469,Kehrsitenstrasse,14,6362 Stansstad,1510,NW,real,15.11.2024,2668634.638,1203629.172
100128652,10018913,285470,Kehrsitenstrasse,24,6362 Stansstad,1510,NW,real,15.11.2024,2668710.613,1203666.093
100128653,10018913,285471,Kehrsitenstrasse,18,6362 Stansstad,1510,NW,real,15.11.2024,2668620.862,1203589.425
100128654,10018913,285472,Kehrsitenstrasse,16,6362 Stansstad,1510,NW,real,15.11.2024,2668637.322,1203599.168
100128655,10018913,285473,Kehrsitenstrasse,20,6362 Stansstad,1510,NW,real,15.11.2024,2668637.624,1203570.901
100128656,10018913,285474,Kehrsitenstrasse,22,6362 Stansstad,1510,NW,real,15.11.2024,2668639.952,1203551.085
100128657,10121962,285475,Fischergasse,5,6362 Stansstad,1510,NW,real,15.11.2024,2668416.182,1203696.98
100128658,10121962,285476,Fischergasse,2,6362 Stansstad,1510,NW,real,15.11.2024,2668425.187,1203642.643
100128659,10071536,285478,Engelgasse,3,6362 Stansstad,1510,NW,real,15.11.2024,2668446.165,1203628.045
