ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000019,10070971,11514461,Ried Ost,26,6074 Giswil,1406,OW,real,True,15.11.2024,2657429,1189058
100000021,10244089,11514464,Hostett,24b,6062 Wilen (Sarnen),1407,OW,real,True,15.11.2024,2657817,1191007
100001999,10130086,11528767,Rösslimatte,11,6063 Stalden (Sarnen),1407,OW,real,True,15.11.2024,2658634,1193077
100002187,10184002,11514133,Arlistrasse,13,6064 Kerns,1404,OW,real,True,15.11.2024,2663517,1194381
100002188,10184002,11514134,Arlistrasse,3,6064 Kerns,1404,OW,real,True,15.11.2024,2663626,1194460
100002189,10110583,11514135,Hinterflueweg,18,6064 Kerns,1404,OW,real,True,15.11.2024,2663285,1194628
100002190,10122902,11514137,Büelrain,7,6064 Kerns,1404,OW,real,True,15.11.2024,2663664,1195502
100002191,10130088,11514139,Chännel,6,6067 Melchtal,1404,OW,real,True,15.11.2024,2665018,1187476
100002192,10184002,11514140,Arlistrasse,5,6064 Kerns,1404,OW,real,True,15.11.2024,2663605,1194468
100003003,10021436,11524910,Schwanderstrasse,48,6063 Stalden (Sarnen),1407,OW,real,True,15.11.2024,2658458,1192980
100003252,10015226,11525182,Hinterstocklistrasse,5,6390 Engelberg,1402,OW,real,True,15.11.2024,2675098,1185473
100004103,10015226,11526037,Hinterstocklistrasse,3,6390 Engelberg,1402,OW,real,True,15.11.2024,2675105,1185471
100004412,10070666,11528682,Sitacherstrasse,3,6062 Wilen (Sarnen),1407,OW,real,True,15.11.2024,2657740,1190936
100090929,10020011,276384,Risegg,1,6063 Stalden (Sarnen),1407,OW,real,True,15.11.2024,2658718,1192644
100131267,10091574,191557777,Hinterseestrasse,5.1,6078 Lungern,1405,OW,real,False,23.07.2024,2654181,1182155
100138288,10091600,275780,Brünigstrasse,162,6060 Sarnen,1407,OW,real,True,15.11.2024,2661416,1193955
100138289,10091600,275781,Brünigstrasse,162.2,6060 Sarnen,1407,OW,real,False,23.07.2024,2661285,1193996
100138953,10116813,191557852,Bahnhofstrasse,25.1,6078 Lungern,1405,OW,real,False,23.07.2024,2655288,1181988
100141939,10021357,191557863,Beim Bahnhof,1.1,6078 Bürglen OW,1405,OW,real,False,23.07.2024,2656236,1185086
100142280,10091580,191557860,Brunnenmadstrasse,2.1,6078 Bürglen OW,1405,OW,real,False,23.07.2024,2656260,1184954
100144237,10091600,275782,Brünigstrasse,166,6060 Sarnen,1407,OW,real,True,15.11.2024,2661415,1193892
100144238,10091600,275784,Brünigstrasse,170,6060 Sarnen,1407,OW,real,True,15.11.2024,2661407,1193833
100144239,10052434,275785,Rütistrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661400,1193802
100144240,10091600,275786,Brünigstrasse,174,6060 Sarnen,1407,OW,real,True,15.11.2024,2661421,1193746
100144241,10091600,275789,Brünigstrasse,160,6060 Sarnen,1407,OW,real,True,15.11.2024,2661429,1194004
100144243,10106178,275790,Cherweg,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661342,1193876
100144244,10184187,275798,Seestrasse,3,6060 Sarnen,1407,OW,real,True,15.11.2024,2661413,1193332
100144245,10091614,275800,Kapuzinerweg,14,6060 Sarnen,1407,OW,real,True,15.11.2024,2661604,1193784
100144246,10116822,275804,Bahnhofstrasse,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661505,1194046
100144247,10116822,275806,Bahnhofstrasse,6,6060 Sarnen,1407,OW,real,True,15.11.2024,2661571,1194040
100144248,10021405,275807,Bahnhofplatz,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661605,1193992
100144249,10021405,275810,Bahnhofplatz,3,6060 Sarnen,1407,OW,real,True,15.11.2024,2661600,1194035
100144250,10021438,275812,Spitalstrasse,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661524,1193451
100144251,10091600,275813,Brünigstrasse,183,6060 Sarnen,1407,OW,real,True,15.11.2024,2661474,1193497
100144252,10091600,275817,Brünigstrasse,180,6060 Sarnen,1407,OW,real,True,22.11.2024,2661399,1193656
100144253,10021407,275951,Birkenstrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661808,1193659
100144255,10091623,275953,Wijerstrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661525,1192581
100144256,10184188,275954,Wiesenweg,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661830,1193561
100144258,10187089,275956,Flüelistrasse,8,6060 Sarnen,1407,OW,real,True,15.11.2024,2661828,1193638
100144259,10187089,275957,Flüelistrasse,10,6060 Sarnen,1407,OW,real,True,15.11.2024,2661837,1193614
100144260,10187089,275958,Flüelistrasse,12,6060 Sarnen,1407,OW,real,True,15.11.2024,2661847,1193589
100144261,10187089,275960,Flüelistrasse,16,6060 Sarnen,1407,OW,real,True,15.11.2024,2661871,1193534
100144262,10184177,275963,Birkenweg,3,6060 Sarnen,1407,OW,real,True,15.11.2024,2661815,1193591
100144263,10180581,275964,Lärchenweg,6,6060 Sarnen,1407,OW,real,True,15.11.2024,2661765,1193479
100144264,10180581,275966,Lärchenweg,8,6060 Sarnen,1407,OW,real,True,15.11.2024,2661780,1193461
100144265,10180581,275968,Lärchenweg,3,6060 Sarnen,1407,OW,real,True,15.11.2024,2661769,1193542
100144266,10180581,275969,Lärchenweg,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661731,1193544
100144267,10180581,275970,Lärchenweg,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661762,1193561
100144268,10021407,275972,Birkenstrasse,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661772,1193605
100144269,10184177,275973,Birkenweg,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661790,1193584
100144270,10184177,275974,Birkenweg,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661795,1193556
100144271,10184177,275975,Birkenweg,6,6060 Sarnen,1407,OW,real,True,15.11.2024,2661812,1193533
100144272,10184188,275976,Wiesenweg,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661807,1193516
100144273,10184188,275977,Wiesenweg,6,6060 Sarnen,1407,OW,real,True,15.11.2024,2661794,1193506
100144274,10021407,275981,Birkenstrasse,6a,6060 Sarnen,1407,OW,real,True,15.11.2024,2661729,1193652
100144275,10021407,275982,Birkenstrasse,6b,6060 Sarnen,1407,OW,real,True,15.11.2024,2661754,1193687
100144276,10021407,275983,Birkenstrasse,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661769,1193654
100144277,10187089,275985,Flüelistrasse,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661792,1193697
100144278,10187089,275986,Flüelistrasse,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661767,1193712
100144280,10091614,275987,Kapuzinerweg,16,6060 Sarnen,1407,OW,real,True,15.11.2024,2661647,1193768
100144281,10187089,275988,Flüelistrasse,2a,6060 Sarnen,1407,OW,real,True,15.11.2024,2661731,1193714
100144283,10021430,275993,Professorenweg,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661804,1193867
100144284,10021430,275994,Professorenweg,11a,6060 Sarnen,1407,OW,real,True,15.11.2024,2661874,1193970
100144285,10021430,275995,Professorenweg,13,6060 Sarnen,1407,OW,real,True,15.11.2024,2661922,1193977
100144286,10116825,275996,Hostattstrasse,6,6060 Sarnen,1407,OW,real,True,15.11.2024,2661804,1194129
100144287,10116825,275998,Hostattstrasse,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661762,1194153
100144288,10020299,275999,Kernserstrasse,8,6060 Sarnen,1407,OW,real,True,15.11.2024,2661759,1194174
100144292,10021418,276005,Grundacherweg,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661673,1194129
100144293,10021418,276006,Grundacherweg,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661679,1194081
100144294,10021415,276008,Gesellenweg,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661694,1193962
100144295,10102802,276010,St. Antonistrasse,12,6060 Sarnen,1407,OW,real,True,15.11.2024,2661771,1193895
100144296,10021434,276011,Ritterweg,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661667,1193931
100144298,10021434,276014,Ritterweg,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661651,1193854
100144299,10021434,276015,Ritterweg,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661685,1193833
100144302,10021411,276021,Feldheim,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661964,1193679
100144303,10021411,276023,Feldheim,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661904,1193723
100144304,10021411,276024,Feldheim,2,6060 Sarnen,1407,OW,real,True,22.11.2024,2661942,1193743
100144305,10021411,276025,Feldheim,6,6060 Sarnen,1407,OW,real,True,22.11.2024,2661999,1193713
100144306,10106179,276026,Ennetriederweg,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661899,1193674
100144307,10106179,276029,Ennetriederweg,11,6060 Sarnen,1407,OW,real,True,15.11.2024,2661984,1193621
100149389,10091607,275574,Aamattweg,20,6060 Sarnen,1407,OW,real,True,15.11.2024,2661065,1193730
100149390,10091607,275576,Aamattweg,24,6060 Sarnen,1407,OW,real,True,15.11.2024,2661054,1193735
100149391,10021416,275578,Goldmattweg,9,6060 Sarnen,1407,OW,real,True,15.11.2024,2661033,1193600
100149392,10192218,275582,Spitalmattenweg,12,6060 Sarnen,1407,OW,real,True,15.11.2024,2661127,1193664
100149393,10021436,275583,Schwanderstrasse,32,6060 Sarnen,1407,OW,real,True,15.11.2024,2660785,1194036
100149394,10021436,275584,Schwanderstrasse,30,6060 Sarnen,1407,OW,real,True,15.11.2024,2660804,1194056
100149395,10121547,275585,Engenlohstrasse,1a,6060 Sarnen,1407,OW,real,True,15.11.2024,2660832,1194099
100149396,10121547,275586,Engenlohstrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2660850,1194132
100149397,10121547,275587,Engenlohstrasse,3,6060 Sarnen,1407,OW,real,True,15.11.2024,2660878,1194165
100149398,10121547,275589,Engenlohstrasse,7,6060 Sarnen,1407,OW,real,True,15.11.2024,2660937,1194209
100149399,10121547,275590,Engenlohstrasse,9,6060 Sarnen,1407,OW,real,True,15.11.2024,2660961,1194227
100149400,10121547,275592,Engenlohstrasse,13,6060 Sarnen,1407,OW,real,True,15.11.2024,2660922,1194168
100149401,10121547,275593,Engenlohstrasse,12,6060 Sarnen,1407,OW,real,True,15.11.2024,2660942,1194155
100149402,10052436,275597,Sonnenbergstrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661001,1194177
100149403,10052436,275598,Sonnenbergstrasse,3,6060 Sarnen,1407,OW,real,True,15.11.2024,2661033,1194192
100149404,10052436,275599,Sonnenbergstrasse,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661072,1194204
100149406,10052436,275602,Sonnenbergstrasse,11,6060 Sarnen,1407,OW,real,True,15.11.2024,2661157,1194249
100149407,10052436,275603,Sonnenbergstrasse,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661164,1194214
100149408,10052436,275604,Sonnenbergstrasse,6,6060 Sarnen,1407,OW,real,True,15.11.2024,2661186,1194213
100149409,10052436,275605,Sonnenbergstrasse,8,6060 Sarnen,1407,OW,real,True,15.11.2024,2661182,1194201
100149410,10052436,275607,Sonnenbergstrasse,12,6060 Sarnen,1407,OW,real,True,15.11.2024,2661195,1194239
100149411,10052436,275610,Sonnenbergstrasse,15,6060 Sarnen,1407,OW,real,True,15.11.2024,2661193,1194284
100149412,10052436,275613,Sonnenbergstrasse,19,6060 Sarnen,1407,OW,real,True,15.11.2024,2661145,1194264
100149413,10052436,275614,Sonnenbergstrasse,27,6060 Sarnen,1407,OW,real,True,15.11.2024,2661072,1194235
100149414,10052436,275615,Sonnenbergstrasse,29,6060 Sarnen,1407,OW,real,True,15.11.2024,2661066,1194231
100149415,10052436,275616,Sonnenbergstrasse,32,6060 Sarnen,1407,OW,real,True,15.11.2024,2661038,1194251
100149416,10052436,275618,Sonnenbergstrasse,34,6060 Sarnen,1407,OW,real,True,15.11.2024,2661012,1194238
100149418,10052436,275620,Sonnenbergstrasse,36,6060 Sarnen,1407,OW,real,True,15.11.2024,2661066,1194266
100149420,10021436,275625,Schwanderstrasse,10,6060 Sarnen,1407,OW,real,True,15.11.2024,2661082,1194179
100149421,10021436,275626,Schwanderstrasse,8,6060 Sarnen,1407,OW,real,True,15.11.2024,2661109,1194184
100149423,10070646,275628,Landenbergstrasse,9,6060 Sarnen,1407,OW,real,True,15.11.2024,2661289,1194200
100149425,10184181,275631,Bergstrasse,10,6060 Sarnen,1407,OW,real,True,15.11.2024,2660954,1194067
100149426,10052434,275633,Rütistrasse,20,6060 Sarnen,1407,OW,real,True,15.11.2024,2661079,1193854
100149428,10021422,275638,Kirchstrasse,20,6060 Sarnen,1407,OW,real,True,15.11.2024,2661045,1194032
100149429,10021422,275639,Kirchstrasse,18,6060 Sarnen,1407,OW,real,True,15.11.2024,2661060,1194046
100149430,10021422,275640,Kirchstrasse,16,6060 Sarnen,1407,OW,real,True,15.11.2024,2661092,1194067
100149431,10021422,275641,Kirchstrasse,14b,6060 Sarnen,1407,OW,real,True,15.11.2024,2661111,1194083
100149432,10021422,275643,Kirchstrasse,17,6060 Sarnen,1407,OW,real,True,15.11.2024,2661160,1194086
100149434,10021422,275647,Kirchstrasse,6a,6060 Sarnen,1407,OW,real,True,15.11.2024,2661263,1194182
100149435,10021422,275649,Kirchstrasse,7b,6060 Sarnen,1407,OW,real,True,15.11.2024,2661227,1194085
100149436,10021422,275650,Kirchstrasse,7c,6060 Sarnen,1407,OW,real,True,15.11.2024,2661211,1194069
100149437,10021422,275651,Kirchstrasse,7d,6060 Sarnen,1407,OW,real,True,15.11.2024,2661190,1194052
100149438,10021422,275652,Kirchstrasse,13,6060 Sarnen,1407,OW,real,True,15.11.2024,2661209,1194114
100149439,10021422,275653,Kirchstrasse,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661309,1194162
100149440,10021422,275656,Kirchstrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661412,1194202
100149441,10106177,275658,Bitzighoferstrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661596,1194889
100149456,10091622,275689,Terrassenstrasse,3,6060 Sarnen,1407,OW,real,True,15.11.2024,2661427,1194999
100149457,10091622,275690,Terrassenstrasse,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661420,1194998
100149458,10091622,275694,Terrassenstrasse,8,6060 Sarnen,1407,OW,real,True,15.11.2024,2661446,1195063
100149459,10091622,275696,Terrassenstrasse,10,6060 Sarnen,1407,OW,real,True,15.11.2024,2661429,1195060
100149460,10145995,275666,Eiweg,21,6060 Sarnen,1407,OW,real,True,15.11.2024,2661449,1194687
100149461,10145995,275667,Eiweg,23,6060 Sarnen,1407,OW,real,True,15.11.2024,2661439,1194662
100149462,10145995,275668,Eiweg,25,6060 Sarnen,1407,OW,real,True,15.11.2024,2661466,1194650
100149463,10145995,275669,Eiweg,27,6060 Sarnen,1407,OW,real,True,15.11.2024,2661426,1194584
100149464,10069988,275671,Jordanstrasse,12,6060 Sarnen,1407,OW,real,True,15.11.2024,2661476,1194382
100149465,10069988,275672,Jordanstrasse,11,6060 Sarnen,1407,OW,real,True,15.11.2024,2661465,1194352
100149466,10069988,275673,Jordanstrasse,7,6060 Sarnen,1407,OW,real,True,15.11.2024,2661459,1194329
100149467,10069988,275674,Jordanstrasse,5,6060 Sarnen,1407,OW,real,True,15.11.2024,2661465,1194305
100149468,10069988,275675,Jordanstrasse,1,6060 Sarnen,1407,OW,real,True,15.11.2024,2661448,1194247
100149469,10070646,275676,Landenbergstrasse,2,6060 Sarnen,1407,OW,real,True,15.11.2024,2661430,1194233
100149471,10121548,275680,Sonnmattstrasse,4,6060 Sarnen,1407,OW,real,True,15.11.2024,2661508,1195027
100149472,10121548,275681,Sonnmattstrasse,7,6060 Sarnen,1407,OW,real,True,15.11.2024,2661512,1194988
100149473,10121548,275682,Sonnmattstrasse,9,6060 Sarnen,1407,OW,real,True,15.11.2024,2661507,1194987
