ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000019,10070971,11514461,Ried Ost,26,6074 Giswil,1406,OW,real,15.11.2024,2657429.131,1189058.331
100000021,10244089,11514464,Hostett,24b,6062 Wilen (Sarnen),1407,OW,real,15.11.2024,2657816.734,1191007.159
100001999,10130086,11528767,Rösslimatte,11,6063 Stalden (Sarnen),1407,OW,real,15.11.2024,2658633.626,1193077.477
100002187,10184002,11514133,Arlistrasse,13,6064 Kerns,1404,OW,real,15.11.2024,2663516.9,1194381.252
100002188,10184002,11514134,Arlistrasse,3,6064 Kerns,1404,OW,real,15.11.2024,2663625.679,1194460.023
100002189,10110583,11514135,Hinterflueweg,18,6064 Kerns,1404,OW,real,15.11.2024,2663285.441,1194627.561
100002190,10122902,11514137,Büelrain,7,6064 Kerns,1404,OW,real,15.11.2024,2663664.09,1195501.948
100002191,10130088,11514139,Chännel,6,6067 Melchtal,1404,OW,real,15.11.2024,2665018.49,1187476.434
100002192,10184002,11514140,Arlistrasse,5,6064 Kerns,1404,OW,real,15.11.2024,2663604.531,1194467.8
100003003,10021436,11524910,Schwanderstrasse,48,6063 Stalden (Sarnen),1407,OW,real,15.11.2024,2658457.604,1192979.857
100003252,10015226,11525182,Hinterstocklistrasse,5,6390 Engelberg,1402,OW,real,15.11.2024,2675097.803,1185473.37
100004103,10015226,11526037,Hinterstocklistrasse,3,6390 Engelberg,1402,OW,real,06.06.2025,2675105.332,1185470.963
100004412,10070666,11528682,Sitacherstrasse,3,6062 Wilen (Sarnen),1407,OW,real,15.11.2024,2657740.263,1190935.687
100090929,10020011,276384,Risegg,1,6063 Stalden (Sarnen),1407,OW,real,15.11.2024,2658717.72,1192644.155
100131267,10091574,191557777,Hinterseestrasse,5.1,6078 Lungern,1405,OW,real,23.07.2024,2654180.762,1182154.543
100138288,10091600,275780,Brünigstrasse,162,6060 Sarnen,1407,OW,real,15.08.2025,2661422.747,1193967.567
100138289,10091600,275781,Brünigstrasse,162.2,6060 Sarnen,1407,OW,real,14.05.2025,2661284.777,1193996.306
100138953,10116813,191557852,Bahnhofstrasse,25.1,6078 Lungern,1405,OW,real,23.07.2024,2655288.243,1181987.914
100141939,10021357,191557863,Beim Bahnhof,1.1,6078 Bürglen OW,1405,OW,real,23.07.2024,2656235.613,1185085.862
100142280,10091580,191557860,Brunnenmadstrasse,2.1,6078 Bürglen OW,1405,OW,real,23.07.2024,2656259.759,1184954.467
100144237,10091600,275782,Brünigstrasse,166,6060 Sarnen,1407,OW,real,15.11.2024,2661415.092,1193891.748
100144238,10091600,275784,Brünigstrasse,170,6060 Sarnen,1407,OW,real,27.05.2025,2661407.3,1193833.185
100144239,10052434,275785,Rütistrasse,1,6060 Sarnen,1407,OW,real,15.11.2024,2661400.48,1193801.696
100144240,10091600,275786,Brünigstrasse,174,6060 Sarnen,1407,OW,real,15.11.2024,2661421.111,1193745.605
100144241,10091600,275789,Brünigstrasse,160,6060 Sarnen,1407,OW,real,15.08.2025,2661435.663,1194003.743
100144243,10106178,275790,Cherweg,4,6060 Sarnen,1407,OW,real,15.11.2024,2661341.948,1193875.949
100144244,10184187,275798,Seestrasse,3,6060 Sarnen,1407,OW,real,15.11.2024,2661412.586,1193332.174
100144245,10091614,275800,Kapuzinerweg,14,6060 Sarnen,1407,OW,real,15.11.2024,2661604.215,1193783.546
100144246,10116822,275804,Bahnhofstrasse,2,6060 Sarnen,1407,OW,real,15.11.2024,2661505.105,1194045.937
100144247,10116822,275806,Bahnhofstrasse,6,6060 Sarnen,1407,OW,real,15.11.2024,2661570.751,1194039.631
