ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000014,10131683,11514442,Im Höfli,4,8234 Stetten SH,2919,SH,real,True,12.04.2024,2691695,1288454
100000030,10091164,11527411,Wolfackerweg,6,8223 Guntmadingen,2932,SH,real,True,12.04.2024,2683906,1282347
100000059,10104919,11527471,Wasserbrunnen,9,8235 Lohn SH,2917,SH,real,True,12.04.2024,2692660,1290139
100000068,10018447,11527489,Benzeweg,63,8222 Beringen,2932,SH,real,True,12.04.2024,2686723,1283547
100000083,10031617,11527532,Bruggsteg,7,8260 Stein am Rhein,2964,SH,real,True,12.04.2024,2706772,1279264
100000111,10185477,11513953,Neudörflingerstrasse,21,8239 Dörflingen,2915,SH,real,True,12.04.2024,2696267,1285101
100000501,10132777,11515547,Laag,118,8239 Dörflingen,2915,SH,real,True,18.04.2024,2696341,1283370
100000658,10108021,11513728,Hauentalstrasse,30,8200 Schaffhausen,2939,SH,real,True,12.04.2024,2689089,1285063
100000662,10018468,11513738,Schwärziweg,8,8222 Beringen,2932,SH,real,True,12.04.2024,2685791,1283559
100000663,10018468,11513739,Schwärziweg,6,8222 Beringen,2932,SH,real,True,12.04.2024,2685786,1283559
100000905,10031589,11527662,Im Oberfeld,20,8261 Hemishofen,2962,SH,real,True,12.04.2024,2704863,1281399
100000988,10018463,11526756,Oberdorf,13,8222 Beringen,2932,SH,real,True,12.04.2024,2685226,1283771
100000989,10091162,11526757,Liiberackerweg,3,8223 Guntmadingen,2932,SH,real,True,12.04.2024,2684063,1282022
100001525,10018157,11513844,Zieglerweg,2b,8240 Thayngen,2920,SH,real,True,12.04.2024,2694918,1289618
100001820,10026341,11514741,Gehr,3,8224 Löhningen,2903,SH,real,True,12.04.2024,2683776,1283879
100002324,10026329,2023223,Bettackerweg,6a,8223 Guntmadingen,2932,SH,real,True,12.04.2024,2684097,1282155
100002693,10107218,11514925,Hofwisenstrasse,17,8260 Stein am Rhein,2964,SH,real,True,12.04.2024,2706419,1278784
100002726,10031589,11527724,Im Oberfeld,18,8261 Hemishofen,2962,SH,real,True,12.04.2024,2704851,1281412
100002845,10106947,11527119,Dachsenbüelstrasse,18,8200 Schaffhausen,2939,SH,real,True,12.04.2024,2690371,1286501
100002846,10080409,11527122,In der Au,7,8225 Siblingen,2953,SH,real,True,12.04.2024,2681143,1285241
100003211,10018668,11524917,Kasinogässchen,19,8200 Schaffhausen,2939,SH,real,True,12.04.2024,2689397,1283587
100003212,10179718,11524918,Im Riet,21,8200 Schaffhausen,2939,SH,real,True,12.04.2024,2688223,1284251
100003215,10129454,11524932,Mühleweg,4,8240 Thayngen,2920,SH,real,True,12.04.2024,2695106,1289439
100003460,10031593,11515407,Alemannenweg,521,8262 Ramsen,2963,SH,real,True,12.04.2024,2703572,1284876
100003804,10019295,11518628,Felsenaustrasse,39,8200 Schaffhausen,2939,SH,real,True,12.04.2024,2689459,1285165
100007780,10132781,11516516,Kirchackerweg,23,8232 Merishausen,2936,SH,real,True,12.04.2024,2687448,1290735
100140759,10205631,475992,Sandgrubenstrasse,11,8455 Rüdlingen,2938,SH,real,True,12.04.2024,2684932,1271220
100220519,10136921,191556292,Chapfweg,14,8214 Gächlingen,2901,SH,real,True,12.04.2024,2679797,1284541
100240058,10046612,475719,Zollstrasse,70,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687511,1281538
100240059,10018160,475722,Schützenstrasse,21,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687556,1281640
100240060,10018160,475723,Schützenstrasse,23,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687534,1281625
100240061,10018160,475724,Schützenstrasse,25,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687511,1281610
100240062,10018160,475725,Schützenstrasse,27,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687487,1281597
100240063,10018160,475726,Schützenstrasse,29,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687461,1281586
100240064,10018160,475728,Schützenstrasse,33,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687412,1281574
100240065,10046612,475731,Zollstrasse,50,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687743,1281742
100240066,10046612,475732,Zollstrasse,56,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687660,1281698
100240067,10018160,475734,Schützenstrasse,9,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687691,1281728
100240068,10018160,475735,Schützenstrasse,11,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687674,1281718
100240069,10018160,475737,Schützenstrasse,17,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687613,1281678
100240071,10018163,475739,Tödistrasse,3,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687770,1281855
100240072,10018163,475741,Tödistrasse,4,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687796,1281852
100240073,10018163,475743,Tödistrasse,6,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687784,1281870
100240074,10018163,475745,Tödistrasse,8,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687771,1281887
100240075,10017874,475746,Neubergstrasse,41,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687736,1281854
100240076,10017874,475747,Neubergstrasse,43,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687747,1281841
100240077,10017874,475749,Neubergstrasse,33,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687794,1281900
100240078,10046612,475750,Zollstrasse,46,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687778,1281807
100240079,10046612,475752,Zollstrasse,40,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687818,1281867
100240080,10017852,475753,Bachtelstrasse,1,8212 Neuhausen am Rheinfall,2937,SH,real,True,12.04.2024,2687889,1282023
