ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000014,10131683,11514442,Im Höfli,4,8234 Stetten SH,2919,SH,real,15.11.2024,2691695.227,1288453.893
100000030,10091164,11527411,Wolfackerweg,6,8223 Guntmadingen,2932,SH,real,15.11.2024,2683905.635,1282346.931
100000059,10104919,11527471,Wasserbrunnen,9,8235 Lohn SH,2917,SH,real,15.11.2024,2692660.153,1290139.146
100000068,10018447,11527489,Benzeweg,63,8222 Beringen,2932,SH,real,15.11.2024,2686722.905,1283547.469
100000083,10031617,11527532,Bruggsteg,7,8260 Stein am Rhein,2964,SH,real,15.11.2024,2706771.644,1279264.078
100000111,10185477,11513953,Neudörflingerstrasse,21,8239 Dörflingen,2915,SH,real,15.11.2024,2696266.692,1285100.766
100000501,10132777,11515547,Laag,118,8239 Dörflingen,2915,SH,real,15.11.2024,2696340.776,1283370.214
100000658,10108021,11513728,Hauentalstrasse,30,8200 Schaffhausen,2939,SH,real,15.11.2024,2689089.251,1285063.042
100000662,10018468,11513738,Schwärziweg,8,8222 Beringen,2932,SH,real,15.11.2024,2685790.606,1283559.137
100000663,10018468,11513739,Schwärziweg,6,8222 Beringen,2932,SH,real,15.11.2024,2685786.29,1283559.198
100000905,10031589,11527662,Im Oberfeld,20,8261 Hemishofen,2962,SH,real,15.11.2024,2704863.161,1281398.859
100000988,10018463,11526756,Oberdorf,13,8222 Beringen,2932,SH,real,15.11.2024,2685226.256,1283770.729
100000989,10091162,11526757,Liiberackerweg,3,8223 Guntmadingen,2932,SH,real,15.11.2024,2684062.54,1282021.638
100001525,10018157,11513844,Zieglerweg,2b,8240 Thayngen,2920,SH,real,15.11.2024,2694918.32,1289617.918
100001820,10026341,11514741,Gehr,3,8224 Löhningen,2903,SH,real,15.11.2024,2683776.469,1283879.124
100002324,10026329,2023223,Bettackerweg,6a,8223 Guntmadingen,2932,SH,real,15.11.2024,2684096.77,1282155.384
100002693,10107218,11514925,Hofwisenstrasse,17,8260 Stein am Rhein,2964,SH,real,15.11.2024,2706418.829,1278783.671
