ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000054,10125843,11527457,Waldstrasse,16e,4564 Obergerlafingen,2528,SO,real,15.11.2024,2611039.853,1223218.295
100000144,10187456,11514042,Schöpfiplatz,4,4625 Oberbuchsiten,2406,SO,real,17.05.2025,2624640.196,1239937.602
100000145,10025828,11514043,Dürrackerstrasse,22,4625 Oberbuchsiten,2406,SO,real,17.05.2025,2625098.92,1240119.784
100000146,10055377,11514048,Buchsweg,4,4625 Oberbuchsiten,2406,SO,real,17.05.2025,2624644.594,1240212.163
100000149,10105059,11514051,Mariasteinstrasse,82,4114 Hofstetten SO,2476,SO,real,15.11.2024,2605221.052,1258071.168
100000458,10089977,11515009,Jurastrasse,26,4522 Rüttenen,2555,SO,real,15.11.2024,2606754.068,1231569.45
100000459,10089975,11515010,Dürrbachstrasse,21a,4522 Rüttenen,2555,SO,real,15.11.2024,2606945.231,1230911.125
100000542,10181879,11516202,Gunzgerstrasse,250,4618 Boningen,2571,SO,real,15.11.2024,2631486.047,1239915.831
100000635,10090099,11513686,Oberfeldstrasse,1,4612 Wangen b. Olten,2586,SO,real,15.11.2024,2632653.947,1242833.195
100000636,10090099,11513687,Oberfeldstrasse,9,4612 Wangen b. Olten,2586,SO,real,15.11.2024,2632666.746,1242812.736
100000637,10090099,11513688,Oberfeldstrasse,13,4612 Wangen b. Olten,2586,SO,real,15.11.2024,2632672.034,1242803.347
100000638,10090100,11513689,Schanzenweg,70,4612 Wangen b. Olten,2586,SO,real,15.11.2024,2631809.858,1244088.253
100000806,10024735,11514499,Römerweg,274,4574 Lüsslingen,2464,SO,real,15.11.2024,2605370.88,1227138.332
100000835,10179395,11514631,Sängetelmatten,14b,5014 Gretzenbach,2576,SO,real,15.11.2024,2642609.237,1245627.466
