ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000031,10183291,11527412,Seeblickstrasse,3,8274 Tägerwilen,4696,TG,real,15.11.2024,2726912.147,1279472.384
100000032,10043406,11527413,Buchenweg,7,8360 Wallenwil,4724,TG,real,15.11.2024,2714562.649,1257512.552
100000035,10071741,11527417,Spitzrütistrasse,1,8500 Frauenfeld,4566,TG,real,15.11.2024,2711091.257,1267922.925
100000036,10180153,11527418,Im Mötteli,1,8570 Weinfelden,4946,TG,real,15.11.2024,2725603.787,1270217.931
100000037,10043214,11527419,Ebnet,8,8581 Schocherswil,4461,TG,real,15.11.2024,2737818.89,1266844.274
100000043,10073484,11527428,Wilhofstrasse,18,9547 Wittenwil,4551,TG,real,15.11.2024,2711994.743,1262140.299
100000060,10043405,11527473,Zelgliweg,17,8360 Eschlikon TG,4724,TG,real,15.11.2024,2715578.348,1258424.39
100000064,10096978,11527482,Alte Friltschenstrasse,1,9562 Märwil,4711,TG,real,15.11.2024,2723299.082,1266265.508
100000077,10052013,11527513,Wellhauserweg,43,8500 Frauenfeld,4566,TG,real,15.11.2024,2711276.69,1269391.298
100000078,10029339,11527516,Brunnenstrasse,2,9326 Horn,4421,TG,real,15.11.2024,2752284.305,1261822.523
100000096,10086908,11513928,Tannhalde,4,9545 Wängi,4781,TG,real,15.11.2024,2714697.509,1261843.41
100000142,10038387,11514040,Oberdorfstrasse,16,8536 Hüttwilen,4821,TG,real,15.11.2024,2707832.551,1274379.566
100000143,10038397,11514041,Chalchenackerstrasse,2,8537 Nussbaumen TG,4821,TG,real,15.11.2024,2704667.579,1276036.83
100000473,10038573,11515029,Schlösslistrasse,8,8577 Schönholzerswilen,4756,TG,real,15.11.2024,2727939.367,1264141.047
100000809,10070333,11514597,Oberdorfstrasse,3,8272 Ermatingen,4646,TG,real,15.11.2024,2723227.78,1280991.239
100000906,10124295,11527663,Hauptstrasse,32,8273 Triboltingen,4646,TG,real,15.11.2024,2725450.377,1280322.97
100000907,10042059,11527665,Kehlhofstrasse,30a,8500 Frauenfeld,4566,TG,real,15.11.2024,2710176.446,1269120.842
100000908,10042052,11527666,Hirschweg,8,8500 Frauenfeld,4566,TG,real,28.07.2026,2710913.523,1267299.835
100000909,10183422,11527667,Breitwies,14,8532 Warth,4621,TG,real,22.11.2025,2708243.27,1271261.137
100000912,10103276,11527675,Rietacker,34,9548 Matzingen,4591,TG,real,15.11.2024,2712602.421,1264783.618
100000990,10042476,11526762,Kronengasse,3,8274 Gottlieben,4651,TG,real,15.11.2024,2727300.052,1280703.445
100001002,10060071,11526786,Bahnhofplatz,65,8500 Frauenfeld,4566,TG,real,15.11.2024,2709627.957,1268393.059
100001003,10042057,11526787,Im Tiergarten,13,8500 Frauenfeld,4566,TG,real,15.11.2024,2711385.909,1268315.912
100001004,10042057,11526788,Im Tiergarten,15,8500 Frauenfeld,4566,TG,real,15.11.2024,2711378.232,1268346.326
100001005,10157293,11526792,Büelbergstrasse,17,8522 Häuslenen,4551,TG,real,15.11.2024,2710531.847,1265114.927
100001006,10043264,11526793,Kehlhofstrasse,44,8552 Felben-Wellhausen,4561,TG,real,15.11.2024,2713470.144,1270477.612
100001007,10180153,11526795,Im Mötteli,12,8570 Weinfelden,4946,TG,real,15.11.2024,2725600.736,1270187.308
100001008,10180153,11526798,Im Mötteli,7,8570 Weinfelden,4946,TG,real,15.11.2024,2725551.83,1270255.529
100001009,10099004,11526799,Radmühlestrasse,6c,8580 Amriswil,4461,TG,real,15.11.2024,2739610.431,1268588.062
100001030,10070833,11526848,Storchenackerstrasse,28,9506 Lommis,4741,TG,real,15.11.2024,2717004.918,1263855.065
100001032,10038624,11526851,Egglerstrasse,17,9555 Tobel,4776,TG,real,15.11.2024,2720132.195,1263526.227
100001097,10110483,11523810,Im Obertor,2,8266 Steckborn,4864,TG,real,15.11.2024,2716420.078,1280493.393
100001127,10043342,11524040,Glaswingerten,8,9507 Stettfurt,4606,TG,real,15.11.2024,2714088.56,1265162.762
100001128,10124988,11524041,Brunnackerstrasse,36,9507 Stettfurt,4606,TG,real,15.11.2024,2713747.733,1265124.74
100001271,10041940,11524713,Bütenstrasse,1,8595 Altnau,4641,TG,real,15.11.2024,2737123.361,1274710.685
100001599,10091336,11515072,Oberdorfstrasse,7,8370 Sirnach,4761,TG,real,15.11.2024,2717655.527,1257808.209
100001603,10072046,11515078,Grabenhaldenstrasse,74,8583 Sulgen,4506,TG,real,15.11.2024,2732068.963,1267388.877
100001604,10043286,11515080,Wintermoosstrasse,26,8583 Sulgen,4506,TG,real,15.11.2024,2731986.859,1267142.434
100001632,10101835,11515118,Steigweg,4,8560 Märstetten,4941,TG,real,15.11.2024,2723125.951,1272246.083
100001693,10038652,11527189,Stettfurterstrasse,8,9545 Wängi,4781,TG,real,15.11.2024,2714116.518,1262502.659
100001713,10038848,11527244,Mettlenstrasse,8a,8360 Wallenwil,4724,TG,real,15.11.2024,2714602.157,1257705.955
100001715,10042801,11527248,Ringstrasse,13,8500 Frauenfeld,4566,TG,real,21.05.2026,2710166.716,1268239.518
100001716,10115191,11527249,Luegistrasse,1,8506 Lanzenneunforn,4811,TG,real,15.11.2024,2712528.321,1275796.455
100001717,10176815,11527250,Eichreben,4,8576 Mauren TG,4891,TG,real,21.05.2026,2729115.395,1270035.093
100001744,10028199,11527304,Schilfweg,8,9322 Egnach,4411,TG,real,21.05.2026,2746456.008,1268016.488
100001754,10042809,11527330,Schwalbenweg,10,8500 Frauenfeld,4566,TG,real,21.05.2026,2710029.743,1267753.74
100002241,10122878,11514243,Unterdorfstrasse,6,9217 Neukirch an der Thur,4501,TG,real,15.11.2024,2730628.964,1263838.055
100002243,10124439,11514246,Mittlere Mühlestrasse,1c,8598 Bottighofen,4643,TG,real,15.11.2024,2732811.756,1277930.807
100002246,10043601,11514252,Bergstrasse,17a,8280 Kreuzlingen,4671,TG,real,15.11.2024,2730108.557,1278315.243
100002247,10163253,11514255,Langhaldenweg,12c,8280 Kreuzlingen,4671,TG,real,15.11.2024,2731420.283,1278173.7
100002248,10092344,11514256,Zeppelinstrasse,2,8280 Kreuzlingen,4671,TG,real,15.11.2024,2729146.684,1278828.337
100002249,10124578,11514258,Rheinstrasse,15i,8280 Kreuzlingen,4671,TG,real,15.11.2024,2729548.42,1279464.617
100002250,10120736,11514259,Besmerstrasse,33b,8280 Kreuzlingen,4671,TG,real,21.05.2026,2731487.874,1278058.254
100002261,10130501,11514276,Webereistrasse,5,8363 Bichelsee,4721,TG,real,15.11.2024,2712061.867,1256409.529
100002262,10070815,11514277,Feldweg,16,8374 Dussnang,4726,TG,real,15.11.2024,2714851.405,1254700.825
100002263,10038858,11514278,Breiteweg,2b,8374 Dussnang,4726,TG,real,21.05.2026,2714848.969,1254563.049
100002264,10131915,11514279,Burgweg,3,8374 Dussnang,4726,TG,real,15.11.2024,2714693.454,1255163.264
100002265,10070815,11514280,Feldweg,15,8374 Dussnang,4726,TG,real,21.05.2026,2714818.258,1254690.281
100002266,10044574,11514283,Neuwiesstrasse,3a,8572 Berg TG,4891,TG,real,15.11.2024,2730193.125,1271459.234
100002267,10176812,11514285,Benzenwiesstrasse,12,8572 Berg TG,4891,TG,real,15.11.2024,2730639.596,1271302.83
100002268,10176812,11514286,Benzenwiesstrasse,12a,8572 Berg TG,4891,TG,real,21.05.2026,2730651.82,1271296.293
100002269,10044585,11514287,Sandbühl,3,8576 Mauren TG,4891,TG,real,15.11.2024,2729100.155,1269959.135
100002351,10124295,2751765,Hauptstrasse,83,8272 Ermatingen,4646,TG,real,15.11.2024,2723231.748,1281155.146
100002352,10042811,2754065,Speicherstrasse,14d,8500 Frauenfeld,4566,TG,real,21.05.2026,2710343.314,1268379.684
100002737,10180153,11527764,Im Mötteli,4,8570 Weinfelden,4946,TG,real,21.05.2026,2725577.559,1270235.074
100002748,10235094,11527797,Dorfstrasse,6,8532 Weiningen TG,4621,TG,real,15.11.2024,2708936.304,1271869.256
100002847,10092333,11527128,Ribistrasse,9,8280 Kreuzlingen,4671,TG,real,15.11.2024,2729159.655,1278851.621
100002849,10070804,11527134,Hurnen,70a,8360 Eschlikon TG,4724,TG,real,15.11.2024,2715198.457,1256388.481
100002975,10038412,11524809,Hechlerstrasse,1,8265 Mammern,4826,TG,real,15.11.2024,2710808.619,1278191.073
100002990,10115993,11524865,Am Rebberg,19,8535 Herdern,4811,TG,real,15.11.2024,2710490.793,1273567.591
100003253,10098990,11525188,Seeweingartenweg,3,8592 Uttwil,4451,TG,real,15.11.2024,2742857.596,1272437.753
100003257,10037690,11525380,Höfli,15a,8555 Müllheim Dorf,4831,TG,real,15.11.2024,2717322.727,1273568.934
100003275,10127924,11525733,Weiherhofstrasse,15,8357 Guntershausen b. Aadorf,4551,TG,real,15.11.2024,2711107.664,1259269.938
100003276,10183104,11525734,Schützenstrasse,9,8355 Aadorf,4551,TG,real,15.11.2024,2710426.259,1260915.683
100003373,10235059,11513921,Aadorferstrasse,7,9546 Tuttwil,4781,TG,real,17.11.2024,2713161.234,1260129.248
100003374,10038637,11513922,Huuswis,2,9545 Wängi,4781,TG,real,15.11.2024,2716162.338,1261096.852
100003375,10107839,11513923,Im Owachs,3,9545 Wängi,4781,TG,real,15.11.2024,2713272.784,1262288.562
100003376,10038649,11513924,Scheidweg,1,9545 Wängi,4781,TG,real,15.11.2024,2714544.423,1262479.381
100003377,10175234,11513925,Ufbruchstrasse,7,9545 Wängi,4781,TG,real,15.11.2024,2713162.701,1262512.195
100003425,10042266,11515142,Rohrenzelgstrasse,4a,8596 Scherzingen,4691,TG,real,15.11.2024,2734685.487,1276840.922
100003548,10036998,11514377,Waldparkstrasse,21,9220 Bischofszell,4471,TG,real,15.11.2024,2735375.715,1261133.085
100003549,10036998,11514378,Waldparkstrasse,19,9220 Bischofszell,4471,TG,real,15.11.2024,2735358.008,1261113.8
100003802,10038848,11517666,Mettlenstrasse,8b,8360 Wallenwil,4724,TG,real,15.11.2024,2714596.213,1257706.299
100003819,10043211,11521345,Weiherstrasse,16a,8580 Amriswil,4461,TG,real,15.11.2024,2740087.119,1268484.293
100003977,10070849,11513926,Grosswis,6,9545 Wängi,4781,TG,real,21.05.2026,2714179.363,1262534.972
100004418,10124294,11528704,Seestrasse,32,8598 Bottighofen,4643,TG,real,15.11.2024,2733036.447,1278414.739
100007751,10132779,11516220,Margenmühlestrasse,2,9517 Mettlen,4921,TG,real,15.11.2024,2726636.478,1266381.79
100052021,10048940,101214892,Guggehüslistrasse,7,8536 Hüttwilen,4821,TG,real,15.11.2024,2707912.971,1274539.258
100085580,10123886,190087780,Egelmoosstrasse,51,8580 Amriswil,4461,TG,real,15.11.2024,2739067.426,1267712.524
100090928,10194137,679499,Schulwies,12,8514 Amlikon-Bissegg,4881,TG,real,15.11.2024,2719763.754,1269291.038
