ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000015,10019998,11514447,Ruslistrasse,4,6473 Silenen,1216,UR,real,True,15.11.2024,2694178,1181989
100000027,10067470,11527407,Seestrasse,49c,6454 Flüelen,1207,UR,real,True,15.11.2024,2690124,1196539
100000182,10130087,11526733,Gandermatte,1,6462 Seedorf UR,1214,UR,real,True,15.11.2024,2689581,1192905
100000629,10088131,11513671,Alter Klausenweg,4,6463 Bürglen UR,1205,UR,real,True,15.11.2024,2693009,1192296
100002832,10067470,11527094,Seestrasse,51d,6454 Flüelen,1207,UR,real,True,15.11.2024,2690147,1196556
100002833,10130087,11527096,Gandermatte,2,6462 Seedorf UR,1214,UR,real,True,15.11.2024,2689597,1192938
100003449,10186713,11515238,Obere Feldgasse,20,6462 Seedorf UR,1214,UR,real,True,15.11.2024,2689681,1192722
100003452,10087827,11515249,Gotthardstrasse,80,6467 Schattdorf,1213,UR,real,True,15.11.2024,2692197,1190755
100003475,10090899,11515504,Dorfstrasse,40a,6454 Flüelen,1207,UR,real,True,15.11.2024,2690401,1195098
100007766,10132780,11516338,Ruetti,1,6473 Silenen,1216,UR,real,True,15.11.2024,2694224,1183339
100007767,10081165,11516341,Gotthardstrasse,54,6474 Amsteg,1216,UR,real,True,15.11.2024,2694072,1180720
100007768,10081165,11516344,Gotthardstrasse,24,6473 Silenen,1216,UR,real,True,15.11.2024,2693545,1184790
100129449,10014918,230694,Stützli,2,6466 Bauen,1214,UR,real,True,15.11.2024,2686861,1198910
100129450,10042839,230695,Im Dorf,8,6466 Bauen,1214,UR,real,True,15.11.2024,2686895,1198944
100133173,10042839,230697,Im Dorf,1,6466 Bauen,1214,UR,real,True,15.11.2024,2686900,1198881
100133174,10042839,230698,Im Dorf,2,6466 Bauen,1214,UR,real,True,15.11.2024,2686927,1198879
100133175,10042839,230699,Im Dorf,4,6466 Bauen,1214,UR,real,True,15.11.2024,2686921,1198901
100133176,10014913,230701,Baumgarten,1,6466 Bauen,1214,UR,real,True,15.11.2024,2686867,1198787
100133177,10014913,230702,Baumgarten,2,6466 Bauen,1214,UR,real,True,15.11.2024,2686829,1198819
100133178,10014913,230703,Baumgarten,10,6466 Bauen,1214,UR,real,True,15.11.2024,2686807,1198770
100133179,10014913,230704,Baumgarten,8,6466 Bauen,1214,UR,real,True,15.11.2024,2686817,1198808
100133180,10014913,230705,Baumgarten,6,6466 Bauen,1214,UR,real,True,15.11.2024,2686835,1198792
100133181,10014913,230706,Baumgarten,14,6466 Bauen,1214,UR,real,True,15.11.2024,2686787,1198752
100133183,10014913,230708,Baumgarten,7,6466 Bauen,1214,UR,real,True,15.11.2024,2686816,1198711
100133218,10188503,231593,Schützengasse,10,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692649,1186160
100133219,10021239,231594,Bärenbodenweg,15,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692695,1186094
100133220,10186707,231595,Schwandigasse,7,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692646,1186072
100133221,10113906,231600,Gotthardstrasse,70,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692580,1186053
100133222,10113906,231601,Gotthardstrasse,72,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692583,1186086
100133223,10113906,231604,Gotthardstrasse,80,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692555,1186117
100133224,10113906,231606,Gotthardstrasse,99,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692443,1186337
100133226,10113906,231609,Gotthardstrasse,104,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692485,1186283
100133227,10113906,231610,Gotthardstrasse,102,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692484,1186270
100133228,10113906,231611,Gotthardstrasse,100,6472 Erstfeld,1206,UR,real,True,15.11.2024,2692479,1186256
