ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000015,10019998,11514447,Ruslistrasse,4,6473 Silenen,1216,UR,real,02.05.2025,2694178.014,1181989.352
100000027,10067470,11527407,Seestrasse,49c,6454 Flüelen,1207,UR,real,15.11.2024,2690124.193,1196539.243
100000182,10130087,11526733,Gandermatte,1,6462 Seedorf UR,1214,UR,real,15.11.2024,2689580.725,1192904.898
100000629,10088131,11513671,Alter Klausenweg,4,6463 Bürglen UR,1205,UR,real,15.11.2024,2693008.733,1192295.701
100002832,10067470,11527094,Seestrasse,51d,6454 Flüelen,1207,UR,real,15.11.2024,2690146.561,1196556.081
100002833,10130087,11527096,Gandermatte,2,6462 Seedorf UR,1214,UR,real,15.11.2024,2689597.093,1192938.179
100003449,10186713,11515238,Obere Feldgasse,20,6462 Seedorf UR,1214,UR,real,15.11.2024,2689681.233,1192722.004
100003452,10087827,11515249,Gotthardstrasse,80,6467 Schattdorf,1213,UR,real,15.11.2024,2692196.568,1190754.883
100003475,10090899,11515504,Dorfstrasse,40a,6454 Flüelen,1207,UR,real,15.11.2024,2690401.489,1195098.383
100007766,10132780,11516338,Ruetti,1,6473 Silenen,1216,UR,real,02.05.2025,2694223.631,1183338.636
100007767,10081165,11516341,Gotthardstrasse,54,6474 Amsteg,1216,UR,real,02.05.2025,2694072.34,1180720.27
100007768,10081165,11516344,Gotthardstrasse,24,6473 Silenen,1216,UR,real,02.05.2025,2693544.691,1184790.051
100129449,10014918,230694,Stützli,2,6466 Bauen,1214,UR,real,15.11.2024,2686861.299,1198909.776
100129450,10042839,230695,Im Dorf,8,6466 Bauen,1214,UR,real,15.11.2024,2686894.987,1198944.307
100133173,10042839,230697,Im Dorf,1,6466 Bauen,1214,UR,real,15.11.2024,2686900.053,1198880.981
100133174,10042839,230698,Im Dorf,2,6466 Bauen,1214,UR,real,15.11.2024,2686927.149,1198878.819
100133175,10042839,230699,Im Dorf,4,6466 Bauen,1214,UR,real,15.11.2024,2686920.974,1198900.512
100133176,10014913,230701,Baumgarten,1,6466 Bauen,1214,UR,real,15.11.2024,2686866.854,1198787.238
100133177,10014913,230702,Baumgarten,2,6466 Bauen,1214,UR,real,15.11.2024,2686828.927,1198818.615
100133178,10014913,230703,Baumgarten,10,6466 Bauen,1214,UR,real,15.11.2024,2686806.546,1198770.157
100133179,10014913,230704,Baumgarten,8,6466 Bauen,1214,UR,real,15.11.2024,2686816.721,1198807.804
100133180,10014913,230705,Baumgarten,6,6466 Bauen,1214,UR,real,15.11.2024,2686834.643,1198792.336
100133181,10014913,230706,Baumgarten,14,6466 Bauen,1214,UR,real,15.11.2024,2686786.76,1198751.72
100133183,10014913,230708,Baumgarten,7,6466 Bauen,1214,UR,real,15.11.2024,2686815.88,1198710.761
100133218,10188503,231593,Schützengasse,10,6472 Erstfeld,1206,UR,real,15.11.2024,2692649.159,1186160.413
100133219,10021239,231594,Bärenbodenweg,15,6472 Erstfeld,1206,UR,real,15.11.2024,2692694.698,1186094.297
100133220,10186707,231595,Schwandigasse,7,6472 Erstfeld,1206,UR,real,15.11.2024,2692646.193,1186071.759
100133221,10113906,231600,Gotthardstrasse,70,6472 Erstfeld,1206,UR,real,15.11.2024,2692579.519,1186053.251
100133222,10113906,231601,Gotthardstrasse,72,6472 Erstfeld,1206,UR,real,15.11.2024,2692582.67,1186086.415
100133223,10113906,231604,Gotthardstrasse,80,6472 Erstfeld,1206,UR,real,15.11.2024,2692555.014,1186116.861
100133224,10113906,231606,Gotthardstrasse,99,6472 Erstfeld,1206,UR,real,15.11.2024,2692443.042,1186336.646
100133226,10113906,231609,Gotthardstrasse,104,6472 Erstfeld,1206,UR,real,15.11.2024,2692484.714,1186282.871
100133227,10113906,231610,Gotthardstrasse,102,6472 Erstfeld,1206,UR,real,15.11.2024,2692484.045,1186270.062
100133228,10113906,231611,Gotthardstrasse,100,6472 Erstfeld,1206,UR,real,15.11.2024,2692479.341,1186255.55
100133229,10113906,231612,Gotthardstrasse,98,6472 Erstfeld,1206,UR,real,15.11.2024,2692487.962,1186229.029
100133230,10113906,231613,Gotthardstrasse,96,6472 Erstfeld,1206,UR,real,15.11.2024,2692495.144,1186226.488
100133231,10019852,231614,Unterer Butzenweg,2,6472 Erstfeld,1206,UR,real,15.11.2024,2692507.152,1186266.625
100133232,10019852,231615,Unterer Butzenweg,4,6472 Erstfeld,1206,UR,real,15.11.2024,2692527.964,1186287.512
100133233,10113906,231616,Gotthardstrasse,95,6472 Erstfeld,1206,UR,real,15.11.2024,2692467.302,1186218.803
100133234,10113906,231617,Gotthardstrasse,93,6472 Erstfeld,1206,UR,real,15.11.2024,2692489.06,1186177.317
100133235,10067466,231620,Schmiedgasse,3,6472 Erstfeld,1206,UR,real,15.11.2024,2692532.702,1186237.893
100133236,10067466,231621,Schmiedgasse,11,6472 Erstfeld,1206,UR,real,15.11.2024,2692548.049,1186261.464
100133237,10067466,231623,Schmiedgasse,15,6472 Erstfeld,1206,UR,real,15.11.2024,2692568.014,1186288.219
100133238,10067466,231624,Schmiedgasse,18,6472 Erstfeld,1206,UR,real,15.11.2024,2692594.226,1186277.961
100133239,10067459,231625,Gärtnerweg,3,6472 Erstfeld,1206,UR,real,15.11.2024,2692430.32,1186418.784
100133240,10067459,231626,Gärtnerweg,1,6472 Erstfeld,1206,UR,real,15.11.2024,2692439.152,1186422.696
100133241,10113906,231628,Gotthardstrasse,114,6472 Erstfeld,1206,UR,real,15.11.2024,2692485.914,1186398.78
100133242,10113906,231629,Gotthardstrasse,112,6472 Erstfeld,1206,UR,real,15.11.2024,2692472.927,1186382.907
100133243,10113906,231630,Gotthardstrasse,110,6472 Erstfeld,1206,UR,real,15.11.2024,2692488.98,1186370.369
100133244,10117412,231631,Friedheimstrasse,2,6472 Erstfeld,1206,UR,real,15.11.2024,2692541.184,1186355.105
100133245,10117412,231632,Friedheimstrasse,18,6472 Erstfeld,1206,UR,real,15.11.2024,2692518.743,1186367.903
100133246,10117412,231634,Friedheimstrasse,16,6472 Erstfeld,1206,UR,real,15.11.2024,2692517.973,1186392.052
100133247,10117412,231635,Friedheimstrasse,15,6472 Erstfeld,1206,UR,real,15.11.2024,2692537.383,1186408.602
