ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000175,10121410,11526722,Schöngrund,27,6343 Rotkreuz,1707,ZG,existing,True,22.10.2023,2674993,1222171
100000546,10131467,11528364,Hasengutnacht,2,6318 Walchwil,1710,ZG,existing,False,22.10.2023,2683996,1216846
100000547,10120950,11528372,Sonneggstrasse,8,6330 Cham,1702,ZG,existing,True,22.10.2023,2677539,1226378
100000548,10018433,11528373,Bergackerstrasse,16,6330 Cham,1702,ZG,existing,True,22.10.2023,2677837,1226460
100000549,10064877,11528379,Luzernerstrasse,56,6330 Cham,1702,ZG,existing,True,22.10.2023,2676856,1225549
100000550,10064868,11528381,Ackerstrasse,6,6330 Cham,1702,ZG,existing,True,22.10.2023,2677835,1226564
100000551,10018754,11528384,Untermühlestrasse,24,6330 Cham,1702,ZG,existing,True,22.10.2023,2676333,1227543
100000552,10018437,11528385,Eichstrasse,10,6330 Cham,1702,ZG,existing,True,22.10.2023,2678125,1226294
100000553,10018437,11528386,Eichstrasse,19b,6330 Cham,1702,ZG,existing,True,22.10.2023,2678151,1226242
100000554,10121388,11528388,Flachsacker,6a,6330 Cham,1702,ZG,existing,True,22.10.2023,2677840,1226322
100000555,10018734,11528394,Moosmattstrasse,7b,6330 Cham,1702,ZG,existing,True,22.10.2023,2677925,1226476
100000556,10095087,11528397,Seemattstrasse,62,6330 Cham,1702,ZG,existing,True,22.10.2023,2676856,1225431
100000557,10064883,11528401,Seehofstrasse,11b,6330 Cham,1702,ZG,existing,True,22.10.2023,2677558,1225984
100000558,10018433,11528403,Bergackerstrasse,34,6330 Cham,1702,ZG,existing,True,22.10.2023,2677790,1226588
100000559,10121388,11528404,Flachsacker,2,6330 Cham,1702,ZG,existing,True,22.10.2023,2677816,1226354
100000560,10018736,11528407,Mugerenstrasse,50,6330 Cham,1702,ZG,existing,True,22.10.2023,2677984,1226411
100000561,10018430,11528408,Adelheid-Page-Strasse,3,6330 Cham,1702,ZG,existing,True,22.10.2023,2677826,1226127
100000562,10018760,11528458,Rehhalde,23b,6332 Hagendorn,1702,ZG,existing,True,22.10.2023,2675571,1228607
100000563,10178860,11528464,Grubenstrasse,33b,6315 Oberägeri,1706,ZG,existing,True,22.10.2023,2688568,1221759
100000564,10064926,11528465,Seestrasse,19,6315 Oberägeri,1706,ZG,existing,True,22.10.2023,2688715,1221106
100000565,10021755,11528469,Holderbachweg,10,6315 Oberägeri,1706,ZG,existing,True,22.10.2023,2688277,1221444
100000566,10064883,11528473,Seehofstrasse,11i,6330 Cham,1702,ZG,existing,True,22.10.2023,2677521,1226013
100000567,10180606,11528476,Niederwil,34,6330 Cham,1702,ZG,existing,True,22.10.2023,2676197,1229954
