ADR_EGAID,STR_ESID,BDG_EGID,STN_LABEL,ADR_NUMBER,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
100000546,10131467,11528364,Hasengutnacht,2,6318 Walchwil,1710,ZG,real,15.11.2024,2683996.183,1216845.546
100000547,10120950,11528372,Sonneggstrasse,8,6330 Cham,1702,ZG,real,15.11.2024,2677538.551,1226377.898
100000548,10018433,11528373,Bergackerstrasse,16,6330 Cham,1702,ZG,real,15.11.2024,2677837.091,1226459.689
100000549,10064877,11528379,Luzernerstrasse,56,6330 Cham,1702,ZG,real,15.11.2024,2676856.041,1225549.015
100000550,10064868,11528381,Ackerstrasse,6,6330 Cham,1702,ZG,real,15.11.2024,2677834.86,1226564.365
100000551,10018754,11528384,Untermühlestrasse,24,6330 Cham,1702,ZG,real,15.11.2024,2676333.374,1227543.499
100000552,10018437,11528385,Eichstrasse,10,6330 Cham,1702,ZG,real,15.11.2024,2678124.756,1226293.894
100000553,10018437,11528386,Eichstrasse,19b,6330 Cham,1702,ZG,real,15.11.2024,2678150.896,1226242.256
100000554,10121388,11528388,Flachsacker,6a,6330 Cham,1702,ZG,real,15.11.2024,2677840.445,1226322.44
100000555,10018734,11528394,Moosmattstrasse,7b,6330 Cham,1702,ZG,real,15.11.2024,2677924.613,1226475.775
100000556,10095087,11528397,Seemattstrasse,62,6330 Cham,1702,ZG,real,15.11.2024,2676856.203,1225431.379
100000557,10064883,11528401,Seehofstrasse,11b,6330 Cham,1702,ZG,real,15.11.2024,2677557.685,1225984.404
100000558,10018433,11528403,Bergackerstrasse,34,6330 Cham,1702,ZG,real,15.11.2024,2677789.839,1226588.409
100000559,10121388,11528404,Flachsacker,2,6330 Cham,1702,ZG,real,15.11.2024,2677816.356,1226354.477
100000560,10018736,11528407,Mugerenstrasse,50,6330 Cham,1702,ZG,real,15.11.2024,2677984.288,1226410.56
100000561,10018430,11528408,Adelheid-Page-Strasse,3,6330 Cham,1702,ZG,real,15.11.2024,2677826.368,1226126.833
100000562,10018760,11528458,Rehhalde,23b,6332 Hagendorn,1702,ZG,real,15.11.2024,2675571.386,1228606.712
100000563,10178860,11528464,Grubenstrasse,33b,6315 Oberägeri,1706,ZG,real,15.11.2024,2688568.229,1221758.577
100000564,10064926,11528465,Seestrasse,19,6315 Oberägeri,1706,ZG,real,15.11.2024,2688715.212,1221106.422
100000565,10021755,11528469,Holderbachweg,10,6315 Oberägeri,1706,ZG,real,15.11.2024,2688276.599,1221444.03
100000566,10064883,11528473,Seehofstrasse,11i,6330 Cham,1702,ZG,real,15.11.2024,2677521.177,1226013.249
100000567,10180606,11528476,Niederwil,34,6330 Cham,1702,ZG,real,15.11.2024,2676196.834,1229954.455
100000568,10131465,11528484,Akelei,,6313 Edlibach,1704,ZG,real,15.11.2024,2685297.515,1225954.779
100000570,10186490,11528486,Lindengasse,11,6314 Unterägeri,1709,ZG,real,15.11.2024,2686791.262,1221149.201
