STR_ESID;STN_LABEL;ZIP_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_TYPE;STR_STATUS;STR_OFFICIAL;STR_MODIFIED;STR_EASTING;STR_NORTHING
10183690;Rue des Longs-Champs;2822 Courroux;6709;Courroux;JU;Street;real;true;27.09.2023;2595694;1245159
10052846;Rue de la Gare;2345 Les Breuleux;6743;Les Breuleux;JU;Street;real;true;27.09.2023;2566955;1228864
10124231;Rue du Stand;2800 Delémont;6711;Delémont;JU;Street;real;true;27.09.2023;2592741;1245746
10148118;Route de Lucelle;2947 Charmoille;6810;La Baroche;JU;Street;real;true;27.09.2023;2584297;1252757
10188122;Rue Saint Hubert;2854 Bassecourt;6729;Haute-Sorne;JU;Street;real;true;27.09.2023;2584428;1242709
10099876;Les Epenattes;2853 Courfaivre;6729;Haute-Sorne;JU;Street;real;true;27.09.2023;2588811;1242327
10124230;Place de la Poste;2800 Delémont;6711;Delémont;JU;Street;real;true;27.09.2023;2593189;1245682
10135494;Route de Buix;2915 Bure;6778;Bure;JU;Street;real;true;27.09.2023;2567787;1256025
10099427;Les Esserts;2340 Le Noirmont;6754;Le Noirmont;JU;Street;real;true;27.09.2023;2562670;1229335
10079514;Route du Moulin des Lavoirs;2882 St-Ursanne;6808;Clos du Doubs;JU;Street;real;true;27.09.2023;2578194;1245505
10099167;Route de Besançon;2906 Chevenez;6809;Haute-Ajoie;JU;Street;real;true;27.09.2023;2565757;1248910
10100170;Rue du Vieux-Moulin;2852 Courtételle;6710;Courtételle;JU;Street;real;true;27.09.2023;2590209;1243263
10084033;Rue de la Liberté;2802 Develier;6712;Develier;JU;Street;real;true;27.09.2023;2589069;1245020
10261314;Chemin de la Montaneire;1304 Senarclens;5499;Senarclens;VD;Street;real;true;24.02.2024;2526684;1160676
10261271;Place de la Gare;1032 Romanel-sur-Lausanne;5592;Romanel-sur-Lausanne;VD;Place;real;true;24.02.2024;2535954;1157172
10261374;Chemin de la Rochette;1431 Novalles;5564;Novalles;VD;Street;real;true;24.02.2024;2535435;1186934
10260841;Chemin des Ritettes;1095 Lutry;5606;Lutry;VD;Street;real;true;24.02.2024;2542520;1150258
10255563;Ziegelbachstrasse;4950 Huttwil;954;Huttwil;BE;;real;true;24.02.2024;2632309;1217915
10261400;Hintereschneitweg;3778 Schönried;843;Saanen;BE;Street;real;true;24.02.2024;2586134;1154778
10100387;Route de Courroux;2824 Vicques;6730;Val Terbi;JU;Street;real;true;27.09.2023;2597194;1244617
10105223;Rue des Labours;2800 Delémont;6711;Delémont;JU;Street;real;true;27.09.2023;2593239;1246923
10186750;Route de Moutier;2800 Delémont;6711;Delémont;JU;Street;real;true;27.09.2023;2594247;1245228
10223441;Route de Bure;2916 Fahy;6789;Fahy;JU;Street;real;true;27.09.2023;2564518;1252233
10188397;Essert Perrin;2718 Lajoux JU;6750;Lajoux (JU);JU;Street;real;true;27.09.2023;2578235;1236569
10083006;Route de Recolaine;2824 Vicques;6730;Val Terbi;JU;Street;real;true;27.09.2023;2598948;1244348
10053993;Morbez;2826 Corban;6730;Val Terbi;JU;Street;real;true;27.09.2023;2603256;1243949
10100167;Rue Saint-Maurice;2852 Courtételle;6710;Courtételle;JU;Street;real;true;27.09.2023;2590960;1244129
10053011;Quai de la Sorne;2800 Delémont;6711;Delémont;JU;Street;real;true;27.09.2023;2593173;1245779
10182360;La Cornand;2843 Châtillon JU;6704;Châtillon (JU);JU;Street;real;true;27.09.2023;2592695;1241904
10053012;Route de Courroux;2800 Delémont;6711;Delémont;JU;Street;real;true;27.09.2023;2594341;1245688
10100142;Rue de la Prévôté;2830 Courrendlin;6708;Courrendlin;JU;Street;real;true;27.09.2023;2594867;1242693
10077144;Milieu du Village;2923 Courtemaîche;6807;Basse-Allaine;JU;Street;real;true;27.09.2023;2570529;1256366
10113453;Chemin de la Dîme;2802 Develier;6712;Develier;JU;Street;real;true;27.09.2023;2588907;1244757
